id,question,ground_truth,llama3.1,llama3 1_instruct,fine_tuned_llama3 1,fine_tuned_llama3.1_instruct
5316,ما هي المدن التي تشكل محاكم استئناف فيها وتعين لكل منها رئيس وقضاة؟,"تشكل محاكم استئناف في عمان واربد ومعان، وتعين لكل منها رئيس وعدد من القضاة.","The cities that form appellate courts and appoint each of them a president and judges are: Amman, Arba, and Maan.

### Explanation:
The article 6 says that appellate courts are formed in Amman, Arba, and Maan. And each of them appoints a president and a number of judges","المدن التي تشكل محاكم استئناف فيها وتعين لكل منها رئيس وقضاة هي عمان، أردن، معان.   وتعين لكل منها رئيس وقضاة.    وتشكل محاكم استئناف في كل من هذه المدن.    وتعين","عمان، أردن، وماعان.","عمان، أردن، ومدن أخرى."
3364,متى يلزم الدائن بإثبات وجود التركة في يد الورثة؟,يلزم الدائن إثبات وجود التركة في يد الورثة بدعوى أصلية إذا انكر الورثة ملكية أموال التركة.,"م. اذا انكر الورثة ايلولة اموال التركة ، كلها او بعضها ، اليهم ولم يتمكن الدائن من اثبات ذلك بأوراق رسم","ب. اذا انكر الورثة إيلولة أموال التركة، كلها أو بعضها، اليهم ولم يتمكن الدائن من اثبات ذلك بأوراق رسمية. 
يجب على الدائن اثبات وجود التركة في يد الورثة بيدعوى",يجب على الدائن إثبات وجود التركة في يد الورثة بدعوى أصلية إذا انكر الورثة وجود أموال التركة أو لم يتمكن الدائن من إثبات ذلك بأوراق رسمية.,إذا انكر الورثة إيلولة أموال التركة اليهم ولم يتمكن الدائن من إثبات ذلك بأوراق رسمية.
4785,ماذا يحدث إذا كانت أعمال العنف تستوجب عقوبة أشد من تلك المنصوص عليها في المواد السابقة؟,يضاف إلى العقوبة التي يستحقها الفاعل من الثلث إلى النصف.,"أ- ماذا يحدث إذا كانت أعمال العنف تستوجب عقوبة أشد من تلك المنصوص عليها في المواد السابقة؟
أ- إذا كانت أعمال العنف تستوجب عقوبة أشد من تلك المنصوص عليها في المواد السابقة ، ضم الى العق","إذا كانت أعمال العنف تستوجب عقوبة أشد من تلك المنصوص عليها في المواد السابقة، يضاف إلى العقوبة التي يستحقها الفاعل بمقتضى أحكام هذا القانون من الثلث إلى النصف. 

مثال: إذا كان الفاع",يضاف إلى العقوبة التي يستحقها الفاعل بمقتضى أحكام القانون من الثلث إلى النصف.,يضمن العقوبة التي يستحقها الفاعل بمقتضى أحكام القانون من الثلث إلى النصف.
4709,كيف يتم تحديد إذا كانت العملية المصرفية لها علاقة بنشاط إرهابي؟,يتم التحقيق في القضية وإذا ثبت للمدعي العام أن للعملية العلاقة بنشاط إرهابي يتم إحالة القضية إلى المحكمة المختصة.,"The law in question is article 147 of the Jordanian penal code. The article states that ""banking operations suspected of having a relation to terrorist activities"" are to be treated differently than other banking operations. The article provides a definition of what constitutes a terrorist act and describes the penalties for such acts. The article also","يتم تحديد إذا كانت العملية المصرفية لها علاقة بنشاط إرهابي عن طريق إجراءات محددة، تشمل:
1.  منع التصرف بالأموال من قبل المدعي العام حتى استكمال التحقيق.
2.  تنسيق المدعي العام مع","يتم تحديد ذلك بالتنسيق والتعاون مع البنك المركزي واي جهة ذات علاقة، محلية كانت أو دولية.",يتم تحديد إذا كانت العملية المصرفية لها علاقة بنشاط إرهابي من خلال التحقيق والتحليفات.
5254,ما هي الممارسات المحظورة التي يجرمها القانون فيما يتعلق بنظام المياه؟,"التنقيب بدون إذن، الحفريات العميقة، النزع من الضفاف، التعدي على حدود المياه، ومنع جري المياه العمومية.","The law prohibits the following practices in relation to the water system:
1- The practice of digging for water that is located underground or that is exploding or trapping it unless the purpose is to dig non-exploding wells on private property.
2- The practice of digging that is less than the depth of the excavation from the","تجرم المادة 455 من قانون العقوبات في نظام المياه في الأردن القيام بأعمال التنقيب عن المياه الكائنة تحت الأرض أو المتفجرة أو حصرها، أو إجراء حفريات تبعد عن حد ضفاف مجاري المياه ومع",الهدم والتخريب.,الهدم والتخريب.
3005,ما هي الأسباب التي قد تدفع المحكمة لإصدار مذكرة بحظر مغادرة البلاد؟,"الأسباب تشمل تصرف المدعى عليه بجميع أمواله، أو هروبها خارج البلاد، أو نية المغادرة بغرض تأخير دعوى الخصم.","لنبدأ بذكر بعض الحالات التي قد تصل فيها إلى هذه المذكرة بحظر مغادرة البلاد، ويمكننا أن نقول بأنها في حالات عدم تقديم الكفالة المالية أو الدينية، أو عدم تقديم الكفالة المالية أو الدي","قد تدفع المحكمة لإصدار مذكرة بحظر مغادرة البلاد إذا اقتنعت بوجود أسباب كالآتي:
- تصرف المدعي أو المدعى بجميع أمواله أو هربها خارج البلاد.
- وجود رغبة من المدعي أو المد",إذا اقتنعت المحكمة بأن المدعي عليه قد تصرف بجميع أمواله أو هربها خارج البلاد.,"السبب هو أن المدعي عليه قد تصرف بجميع أمواله أو هربها خارج البلاد، أو أنه على وشك أن يغادرها."
661,ما هو الموضوع القانوني الذي يتناوله هذا النص؟,يتناول هذا النص الباب الثاني- عقود المنفعة - القانون المدني الأردني لسنة 1976 الفصل الأول- الإجارة - من القانون المدني الأردني لسنة 1976 المحافظة على الماجور.,"The legal issue that this text addresses is the subject of Article 694 of the Jordanian Civil Law of 1976. Article 694 states that ""it is not permissible for the tenant to make any change in the major without the permission of the owner, except if it is necessary for the repair of the major and","الموضوع القانوني الذي يتناوله هذا النص هو الإجارة، والتحديد أكثر في المحافظة على الماجور، ويعني ذلك الحفاظ على حالته أو حالته الأصلية عند إنهاء الإجارة أو عند حدوث أي تغيير في الماجور",المحافظة على الماجور.,الموضوع القانوني هو المحافظة على الماجور في الإيجار.
1569,هل يمكن لأي قانون آخر أو عقد عمل يمنح العامل حقوقا أفضل من تلك المنصوص عليها في هذا القانون؟,"نعم، يمكن لأي قانون آخر أو عقد عمل أو اتفاق يمنح العامل حقوقا أفضل من تلك المنصوص عليها في هذا القانون دون تأثير على حقوقه المقررة في هذا القانون.","Yes, any other law or contract may provide better rights to an employee than those specified in this law. For example, an employment contract may provide better rights to an employee than those specified in this law. Article 4 stipulates that the provisions of this law do not affect any right granted to an employee by any other","لا يمكن لأي قانون آخر أو عقد عمل يمنح العامل حقوقا أفضل من تلك المنصوص عليها في هذا القانون، وذلك كما هو موضح في المادة 4 من القانون.

وإذا كان العامل يتعاقد أو يتفق على حقوق أفضل من تلك المنصوص عليها","نعم، يمكن لأي قانون آخر أو عقد عمل يمنح العامل حقوقا أفضل من تلك المنصوص عليها في هذا القانون.","نعم، يمكن لأي قانون آخر أو عقد عمل عمل يمنح العامل حقوقا أفضل من تلك المنصوص عليها في هذا القانون."
1513,ما هي الوسائل التي يمكن للأشخاص استخدامها لنشر معلومات عن الأشخاص الذين يتولون تنفيذ أحكام القانون؟,"يمكنهم استخدام شبكة معلوماتية، تقنية المعلومات، نظام المعلومات، موقع إلكتروني، منصة تواصل اجتماعي، أو أي وسيلة نشر إلكترونية أخرى.","إذا كان من شأن نشر ذلك الإساءة إليهم أو تعريض حياتهم للخطر أو إذا كانت التشريعات التي تحكم عملهم تحظر ذلك، يعاقب بالحبس مدة لا تقل عن ثلاثة أشهر وبغرامة لا تقل عن (500","تستطيع الأشخاص استخدام شبكة المعلومات أو تقنية المعلومات أو نظام المعلومات أو موقع إلكتروني أو منصة تواصل اجتماعي أو أي وسيلة نشر إلكترونية أخرى لنشر معلومات عن الأشخاص الذين يتولون تنفيذ أحكام القانون، إذا كان من","يمكن للأشخاص استخدام شبكة المعلوماتية، تقنية المعلومات، نظام المعلومات، موقع إلكتروني، منصة تواصل اجتماعي، أو أي وسيلة نشر إلكترونية أخرى لنشر معلومات عن الأشخاص الذين يتولون تنفيذ أحكام القانون.",يمكن للأشخاص استخدام شبكة معلوماتية أو تقنية المعلومات أو نظام المعلومات أو موقع إلكتروني أو منصة تواصل اجتماعي أو وسائل نشر إلكترونية أخرى.
1467,ما هو نتيجة استيلاء شخص على مال مملوك للغير باستخدام بيانات ومعلومات؟,الحبس لمدة ثلاث سنوات وغرامة لا تقل عن 10000 دينار.,"The answer is in the form of a short paragraph, written in Jordanian Arabic, that appropriately answers the question. The answer should not exceed 200 words.","الإجابة الصحيحة هي: 
تكون العقوبة الحبس مدة ثلاث سنين وغرامة لا تقل عن (10000) عشرة آلاف دينار ولا تزيد على (20000) عشرين ألف دينار. 

وذلك وفقاً للمادة 8 ب من قانون",الاستيلاء على مال مملوك للغير باستخدام بيانات ومعلومات يؤدي إلى عقوبة الحبس والغرامة.,يعاقب بالحبس والغرامة.
4966,ماذا يحدث إذا لم تكن الفتاة المجني عليها قد أكملت الثانية عشرة من عمرها؟,يُعتبر الشخص مرتكبا لجريمة الاغتصاب ويُعاقب بالعقوبة المنصوص عليها في القانون.,"The answer to the question is ""If the victim has not completed her twelfth year of age, the perpetrator is guilty of the crime described in article (292) (2) and is punished accordingly.""","إذا لم تكن الفتاة المجني عليها قد أكملت الثانية عشرة من عمرها، يعد مرتكبا للجرم المنصوص عليه في الفقرة (2) من المادة (292) من هذا القانون، ويعاقب بالعقوبة المنصوص عليها فيها","إذا لم تكن المجني عليها قد أكملت الثانية عشرة من عمرها، يعد مرتكبا للجرم المنصوص عليه في المادة 292 ويعاقب بالعقوبة المنصوص عليها فيها.",يعتبر مرتكبا للجرم المنصوص عليه في الفقرة (2) من المادة 292 من القانون ويعاقب بالعقوبة المنصوص عليها فيها.
5293,ما الدعاوى التي تختص بها غرفة قضائية للنظر في الدعاوى الحقوقية؟,"الدعاوى المتعلقة بالعقود، الشركات، الأوراق المالية، التأمين، التجارة، والمزيد.","I can't find a translation for the word ""law"" in this context, so I'm not sure if you're asking about the legal system in Jordan, or the laws themselves. If you're asking about the legal system, I'd say that the court system in Jordan is generally divided into two types: civil courts","تنشأ في محكمة البداية غرفة قضائية للنظر في الدعاوى الحقوقية. ويجب أن تضم كل غرفة هيئة واحدة أو أكثر، وفقاً لما يحدده رئيس محكمة البداية، بحسب الحاجة. كما يحد",الغرفة قضائية للنظر في الدعاوى الحقوقية.,الدعاوى الحقوقية.
4137,ما الذي يحظر على رئيس وأعضاء مجلس إدارة الشركة المساهمة العامة؟,يحظر عليهم أن يفشوا معلومات سرية عن الشركة لأي شخص.,"المادة 158
يحظر على رئيس وأعضاء مجلس إدارة  الشركة المساهمة العامة ومديرها العام أو اي موظف يعمل فيها أن يفشي الى اي مساهم في الشركة أو الى غيره اي معلومات أو بيانات تتعلق بالشركة وتعتبر ذات طبيعة",يحظر على رئيس وأعضاء مجلس إدارة الشركة المساهمة العامة ومديرها العام أو أي موظف يعمل فيها أن يفشي إلى أي مساهم في الشركة أو إلى غيره أي معلومات أو بيانات تتعلق بالشركة وتعتبر ذات طبيعة سرية بالنسبة لها. هذا الح,يحظر عليهم إفشاء أي معلومات أو بيانات تتعلق بالشركة التي يعتبرها ذات طبيعة سرية.,يحظر عليهم فشل أي معلومات أو بيانات تتعلق بالشركة.
3112,ما هو التأثير الذي يترتب على طلب اعادة المحاكمة طبقاً للمادة 217؟,لا يترتب على طلب اعادة المحاكمة وقف تنفيذ الحكم ما لم تقرر المحكمة خلاف ذلك.,The answer is that the court may decide to suspend the execution of the verdict. The court may also decide to suspend the execution of the verdict and to return the case to the court of first instance.,"لا يترتب على طلب اعادة المحاكمة طبقاً للمادة 217 وقف تنفيذ الحكم ما لم تقرر المحكمة خلاف ذلك. 
(مادة 217 من قانون الإجراءات الجنائية). 

### Note:
تم إضافة المادة 217 من",لا يترتب على طلب اعادة المحاكمة وقف تنفيذ الحكم ما لم تقرر المحكمة خلاف ذلك.,لا يترتب على طلب اعادة المحاكمة وقف تنفيذ الحكم ما لم تقرر المحكمة خلاف ذلك.
1098,ماذا يتولى وصي التركة بعد تسوية ديونها؟,يتولى وصي التركة بعد تسوية ديونها تنفيذ وصايا المورث وغيرها من التكاليف.,يتولى وصي التركة بعد تسوية ديونها تنفيذ وصايا المورث وغيرها من التكاليف.,"يتولى وصي التركة بعد تسوية ديونها تنفيذ وصايا المورث وغيرها من التكاليف. هذا يعني أن وصي التركة سيتولى إدارة أموال التركة بعد دفع ديونها، ثم يتولى تنفيذ وصايا المور",يتولى وصي التركة بعد تسوية ديونها تنفيذ وصايا المورث وغيرها من التكاليف.,يتولى وصي التركة بعد تسوية ديونها تنفيذ وصايا المورث وغيرها من التكاليف.
2099,من الذين يوقعون على الجرم المشهود وفقًا للمادة 38؟,المدعي العام والكاتب والأشخاص المذكورون فيها.,"من الذين يوقعون على الجرم المشهود وفقًا للمادة 38: المدعي العام والكاتب والاشخاص المذكورون في المادة 37.

### Explanation:
من الذين يوقعون على الجرم المشهود وفقًا للمادة 38: المدعي العام والكاتب","يوقع المدعي العام والكاتب وال أشخاص المذكورون في المادة 37 على الجرم المشهود.     
المادة 37 في قانون الإجراءات الجنائية في الأردن.     
المادة 37     
الجرم المشهود
الباب الثاني -",يوقع على الجرم المشهود المدعي العام والكاتب والاشخاص المذكورون في الفقرة 1 من المادة 38.,المدعي العام والكاتب والاشخاص المذكورون في المادة 38.
3156,ما هو شرط سحب الورقة أو السند الذي يقدمه الخصم في الدعوى؟,يجوز للخصم سحب الورقة أو السند برضا خصمه وبأذن خطي من رئيس المحكمة بعد تحفظ صورة مصدقة عنه.,The condition for withdrawing a document or evidence submitted by the defendant in the lawsuit is that it must be with the consent of the defendant and with a written permission from the head of the court after a certified copy is kept in the lawsuit file.,لا يجوز سحب الورقة أو السند الذي يقدمه الخصم في الدعوى إلا برضا خصمه وبأذن خطي من رئيس المحكمة بعد أن تحفظ صورة مصدقة عنه في إضبارة الدعوى. هذا الشرط هو شرط,يجب على الخصم الحصول على رضا خصمه وبأذن خطي من رئيس المحكمة بعد حفظ صورة مصدقة عنه في إضبارة الدعوى.,يجب على الخصم أن يقدم برضا خصمه وبأذن خطي من رئيس المحكمة.
5214,ما يتضمنه العقاب وفق المادة 437 من القانون؟,"العقاب يتناول الشروع في ارتكاب الجرائم المنصوص عليها في المادة 430 وما يليها من المواد الواردة في الفصل الرابع، ويشمل الإفلاس والغش إضرارا بالدائن الإفلاس.","المادة 437

### Answer:
المادة 437

### Answer:
المادة 437

### Answer:
المادة 437

### Answer:
المادة 437

### Answer:
المادة 437

### Answer:
المادة 437

### Answer:
المادة 437

### Answer:",يتضمن العقاب وفق المادة 437 من القانون الشروع في ارتكاب الجرائم المنصوص عليها في المادة (430) وما يليها من المواد الواردة في الفصل الرابع. ويشمل ذلك الإفلاس والغش إضرارا بالدائ,يتناول العقاب الشروع في ارتكاب الجرائم المنصوص عليها في المادة 430 وما يليها.,يتضمن العقاب الشروع في ارتكاب الجرائم المنصوص عليها في المادة 430 وما يليها من المواد الواردة في الفصل الرابع.
1805,ما يمكن للعامل المطالبة به إذا تعرض للفصل التعسفي؟,يمكن للعامل المطالبة بتعويض الفصل التعسفي وأي حقوق أخرى مترتبة له.,"ما يمكن للعامل المطالبة به إذا تعرض للفصل التعسفي؟

ما يمكن للعامل المطالبة به إذا تعرض للفصل التعسفي؟

1. إعادة العامل إلى العمل مع حكم له بأجوره","إذا تعرض العامل للفصل التعسفي، يمكنه المطالبة بتعويض الفصل التعسفي، بالإضافة إلى تعويض إضافي لا يقل عن أجور ستة أشهر ولا يزيد على اثني عشر شهرا إذا لم يتمكن من العودة إلى عم",يمكنه المطالبة بإعادة إلى العمل مع الحكم له بكامل أجوره.,"يمكن للعامل المطالبة بكل عطل أو ضرر لحقه نتيجة الفصل التعسفي، بالإضافة إلى تعويض الفصل التعسفي واي حقوق أخرى مترتبة عليه."
5865,ما هي النقطة التي يركز عليها القانون بشكل خاص بخصوص تعيين الاشتراكات والرسوم السنوية وكيفية تحصيلها وتسوية وصرف رواتب التقاعد؟,يركز القانون بصورة خاصة على تعيين الاشتراكات والرسوم السنوية وكيفية تحصيلها وتسوية وصرف رواتب التقاعد.,"مادة 108
حتى تُصدر الأنظمة المنصوص عليها في هذا القانون، تبقى كافة الأنظمة المعمول بها عند نفاذه سارية المفعول، كانما هي صادرة بموجبه، وذلك على جميع الأحوال التي لم يرد بشأنها نص مخ","يُركز القانون بشكل خاص على تعيين الاشتراكات والرسوم السنوية وكيفية تحصيلها وتسوية وصرف رواتب التقاعد. يُشير القانون إلى ضرورة صياغة الانظمة المعمول بها في هذا القانون، ويشدد على أن",يركز القانون بشكل خاص على تعيين الاشتراكات والرسوم السنوية وكيفية تحصيلها وتسوية وصرف رواتب التقاعد.,النقطة التي يركز عليها القانون بشكل خاص هي تعيين الاشتراكات والرسوم السنوية وكيفية تحصيلها وتسوية وصرف رواتب التقاعد.
3337,ما هي شروط قبول طلب تنفيذ حكم التحكيم؟,يجب أن يكون موعد رفع دعوى بطلان الحكم قد انقضى ويجب تقديم طلب التنفيذ الى محكمة التمييز.,"ما هي شروط قبول طلب تنفيذ حكم التحكيم؟
الشرط الاول:  لا يقبل طلب تنفيذ حكم التحكيم إذا لم يكن موعد رفع دعوى بطلان الحكم قد انقضى.
الشرط الثاني: يقدم طلب التن","يجب على الطلبة تقديم طلب التنفيذ إلى محكمة التمييز، يرافق طلب التنفيذ بما يلي:
1- صورة اتفاق التحكيم.
2- اصل الحكم أو صورة موقعة عليه.
3- ترجمة لحكم التحكيم مص",يجب أن يكون موعد رفع دعوى بطلان الحكم قد انقضى.,يجب أن يكون موعد رفع دعوى بلاولية الحكم قد انقضى.
3660,ما الشرط الوحيد الذي يجب توافره لإمكانية انسحاب الشريك من شركة التضامن؟,يجب تبليغ المراقب والشركاء الآخرين برغبته بالانسحاب كتابياً.,"The question is asking about the only condition that must be met to allow a partner to withdraw from a partnership. The answer is that the partner must notify the other partners and the board of directors in writing by registered mail that he/she wishes to withdraw from the partnership, and the decision to withdraw takes effect one day after the","الشرط الوحيد الذي يجب توافره لإمكانية انسحاب الشريك من شركة التضامن هو أن تكون الشركة غير محدودة المدة. إذا كانت شركة التضامن لمدة محدودة، فلا يجوز للشريك الانسحاب منها خلال تلك الم",يجب أن يكون الشريك المنسحب مسؤولاً بالتضامن والتكافل مع الشركاء الباقين في الشركة عن الديون والالتزامات التي ترتبت عليها قبل انسحابه منها.,إذا كانت شركة التضامن لمدة محدودة.
