id,question,ground_truth,fine_tuned_llama3.1
1569,هل يمكن لأي قانون آخر أو عقد عمل يمنح العامل حقوقا أفضل من تلك المنصوص عليها في هذا القانون؟,نعم، يمكن لأي قانون آخر أو عقد عمل أو اتفاق يمنح العامل حقوقا أفضل من تلك المنصوص عليها في هذا القانون دون تأثير على حقوقه المقررة في هذا القانون.,نعم، يمكن لأي قانون آخر أو عقد عمل يمنح العامل حقوقا أفضل من تلك المنصوص عليها في هذا القانون.
1513,ما هي الوسائل التي يمكن للأشخاص استخدامها لنشر معلومات عن الأشخاص الذين يتولون تنفيذ أحكام القانون؟,يمكنهم استخدام شبكة معلوماتية، تقنية المعلومات، نظام المعلومات، موقع إلكتروني، منصة تواصل اجتماعي، أو أي وسيلة نشر إلكترونية أخرى.,يمكن للأشخاص استخدام شبكة المعلوماتية، تقنية المعلومات، نظام المعلومات، موقع إلكتروني، منصة تواصل اجتماعي، أو أي وسيلة نشر إلكترونية أخرى لنشر معلومات عن الأشخاص الذين يتولون تنفيذ أحكام القانون.
1467,ما هو نتيجة استيلاء شخص على مال مملوك للغير باستخدام بيانات ومعلومات؟,الحبس لمدة ثلاث سنوات وغرامة لا تقل عن 10000 دينار.,الاستيلاء على مال مملوك للغير باستخدام بيانات ومعلومات يؤدي إلى عقوبة الحبس والغرامة.
4966,ماذا يحدث إذا لم تكن الفتاة المجني عليها قد أكملت الثانية عشرة من عمرها؟,يُعتبر الشخص مرتكبا لجريمة الاغتصاب ويُعاقب بالعقوبة المنصوص عليها في القانون.,إذا لم تكن المجني عليها قد أكملت الثانية عشرة من عمرها، يعد مرتكبا للجرم المنصوص عليه في المادة 292 ويعاقب بالعقوبة المنصوص عليها فيها.
5293,ما الدعاوى التي تختص بها غرفة قضائية للنظر في الدعاوى الحقوقية؟,الدعاوى المتعلقة بالعقود، الشركات، الأوراق المالية، التأمين، التجارة، والمزيد.,الغرفة قضائية للنظر في الدعاوى الحقوقية.
4137,ما الذي يحظر على رئيس وأعضاء مجلس إدارة الشركة المساهمة العامة؟,يحظر عليهم أن يفشوا معلومات سرية عن الشركة لأي شخص.,يحظر عليهم إفشاء أي معلومات أو بيانات تتعلق بالشركة التي يعتبرها ذات طبيعة سرية.
3112,ما هو التأثير الذي يترتب على طلب اعادة المحاكمة طبقاً للمادة 217؟,لا يترتب على طلب اعادة المحاكمة وقف تنفيذ الحكم ما لم تقرر المحكمة خلاف ذلك.,لا يترتب على طلب اعادة المحاكمة وقف تنفيذ الحكم ما لم تقرر المحكمة خلاف ذلك.
1098,ماذا يتولى وصي التركة بعد تسوية ديونها؟,يتولى وصي التركة بعد تسوية ديونها تنفيذ وصايا المورث وغيرها من التكاليف.,يتولى وصي التركة بعد تسوية ديونها تنفيذ وصايا المورث وغيرها من التكاليف.
2099,من الذين يوقعون على الجرم المشهود وفقًا للمادة 38؟,المدعي العام والكاتب والأشخاص المذكورون فيها.,يوقع على الجرم المشهود المدعي العام والكاتب والاشخاص المذكورون في الفقرة 1 من المادة 38.
3156,ما هو شرط سحب الورقة أو السند الذي يقدمه الخصم في الدعوى؟,يجوز للخصم سحب الورقة أو السند برضا خصمه وبأذن خطي من رئيس المحكمة بعد تحفظ صورة مصدقة عنه.,يجب على الخصم الحصول على رضا خصمه وبأذن خطي من رئيس المحكمة بعد حفظ صورة مصدقة عنه في إضبارة الدعوى.
5214,ما يتضمنه العقاب وفق المادة 437 من القانون؟,العقاب يتناول الشروع في ارتكاب الجرائم المنصوص عليها في المادة 430 وما يليها من المواد الواردة في الفصل الرابع، ويشمل الإفلاس والغش إضرارا بالدائن الإفلاس.,يتناول العقاب الشروع في ارتكاب الجرائم المنصوص عليها في المادة 430 وما يليها.
1805,ما يمكن للعامل المطالبة به إذا تعرض للفصل التعسفي؟,يمكن للعامل المطالبة بتعويض الفصل التعسفي وأي حقوق أخرى مترتبة له.,يمكنه المطالبة بإعادة إلى العمل مع الحكم له بكامل أجوره.
5865,ما هي النقطة التي يركز عليها القانون بشكل خاص بخصوص تعيين الاشتراكات والرسوم السنوية وكيفية تحصيلها وتسوية وصرف رواتب التقاعد؟,يركز القانون بصورة خاصة على تعيين الاشتراكات والرسوم السنوية وكيفية تحصيلها وتسوية وصرف رواتب التقاعد.,يركز القانون بشكل خاص على تعيين الاشتراكات والرسوم السنوية وكيفية تحصيلها وتسوية وصرف رواتب التقاعد.
3337,ما هي شروط قبول طلب تنفيذ حكم التحكيم؟,يجب أن يكون موعد رفع دعوى بطلان الحكم قد انقضى ويجب تقديم طلب التنفيذ الى محكمة التمييز.,يجب أن يكون موعد رفع دعوى بطلان الحكم قد انقضى.
3660,ما الشرط الوحيد الذي يجب توافره لإمكانية انسحاب الشريك من شركة التضامن؟,يجب تبليغ المراقب والشركاء الآخرين برغبته بالانسحاب كتابياً.,يجب أن يكون الشريك المنسحب مسؤولاً بالتضامن والتكافل مع الشركاء الباقين في الشركة عن الديون والالتزامات التي ترتبت عليها قبل انسحابه منها.
2841,ما هو تأثير عدم صحة الإفصاح على تقرير الخبرة؟,يبطل تقرير الخبرة في حالة عدم صحة الإفصاح.,يجب رد تقرير الخبرة ويمكن لجنة الخبرة أن تقرر رد الخبير.
2639,من يُحال القرار النهائي بشأن إعدام الجاني إليه؟,يحال إلى جلالة الملك بعد اتخاذه من قبل مجلس الوزراء.,يُحال القرار النهائي بشأن إعدام الجاني إلى جلالة الملك.
523,ما هو تأثير عقد المخارجة على حصة البائع الارثية؟,ينقل عقد المخارجة حصة البائع الارثية الى المشتري ويحل محل البائع في استحقاق نصيبه من التركة.,ينقل عقد المخارجة حصة البائع الارثية الى المشتري ويحل محل البائع في استحقاق نصيبه من التركة.
657,ماذا يعني تعدد المستأجرين وكل منهم ضامنًا للاضرار؟,يعني أنه إذا كان هناك أكثر من مستأجر، فإن كل منهم مسؤول عن الأضرار التي تحدث نتيجة لتقصيره أو تعديه.,يعني أن كل من المستأجرين هو ضامن للضرر الناتج عن تعديه أو تقصيره.
234,ماذا يحدث عندما يجتمع المباشر والمتسبب؟,يضاف الحكم إلى المباشر.,يضاف الحكم إلى المباشر.
477,متى لا تسمع الدعوى بفسخ العقد أو انقاص الثمن أو تكملته؟,عندما ينقضي مدة سنة على تسليم المبيع.,لا تسمع الدعوى بفسخ العقد أو انقاص الثمن أو تكملته إذا انقضت سنة على تسليم المبيع.
1767,متى لا تنطبق أحكام الفقرة (أ) من المادة 94؟,عندما تنشأ الإصابة عن حالات تسبب الوفاة أو العجز الدائم بنسبة لا تقل عن 30%.,إذا نشأت الإصابة عن خطأ أو إهمال جسيم من المصاب.
1608,ما الحق الذي يحصل عليه العامل في حال انهاء صاحب العمل عقد العمل محدد المدة؟,يحق للعامل استيفاء جميع الحقوق والمزايا التي ينص عليها العقد والأجور التي تستحق حتى انتهاء المدة المتبقية.,يحصل العامل على جميع الحقوق والمزايا التي ينص عليها العقد ويتحق الأجور التي تستحق حتى انتهاء المدة المتبقية من العقد.
3307,ما يعني قرار المحكمة المختصة في حالة الطعن بقرار هيئة التحكيم؟,يكون قرار المحكمة المختصة قطعياً.,يعني أن المحكمة المختصة تقرر قرار هيئة التحكيم في حالة الطعن فيه.
1258,ما الشرط الذي يتعين تحققه لحفظ حق المالك بين عقارين منفصلين بعد انتقالهما؟,يجب أن يبقى الحق مجرداً وظاهراً بين العقارين دون تغيير في حالتهما.,يجب أن لا يحدث تغيير في حالتهما ما لم يتفق على غير ذلك.
5544,ما هي الدعاوى التي يمكن لمحكمة الصلح النظر فيها بصرف النظر عن قيمتها إذا كانت مرتبطة بالأموال المنقولة؟,دعاوى تقسيم الأموال المنقولة.,دعاوى الحقوق المتعلقة بدين أو مال منقول أو غير منقول.
351,ما هي الحالة الوحيدة التي يعفى فيها المدين من الحاجة إلى اعذار؟,الحالة الوحيدة التي يعفى فيها المدين من الحاجة إلى اعذار هي اذا صرح المدين كتابة انه لا يريد القيام بالتزامه وفقاً للمادة 362.,عندما يصبح تنفيذ الالتزام غير ممكن أو غير مجد بفعل المدين، أو عندما يكون محل الالتزام تعويضا ترتب على عمل غير مشروع، أو عندما يكون محل الالتزام رد شيء يعلم المدين أنه مسروق، أو عندما
2832,ما الإجراء الذي تتخذه المحكمة إذا تخلف الشاهد عن الحضور دون معذرة مشروعة؟,تصدر مذكرة احضار بحقه.,تستدعي المحكمة مذكرة احضار بحقه وتتضمن تفويض الشرطة اخلاء سبيله بالكفالة.
136,ما العقوبة المترتبة على الزوج في حال قام بإجبار زوجته على التنازل عن حق لها؟,يكون تصرف الزوج في هذه الحالة غير نافذ ولا تكون له أي تأثير قانوني.,يُعاقب الزوج ذو الشوكة بالحبس مدة لا تقل عن سنة.
4964,ما هي العقوبة المنصوص عليها للشخص الذي يرتكب جريمة الاغتصاب وفق المادة 293؟,يعاقب الشخص الذي يرتكب جريمة الاغتصاب وفق المادة 293 بالعقوبة المنصوص عليها في المادة 292 من القانون.,يعاقب بالعقوبة المنصوص عليها في المادة 292 من القانون.
3869,كم تكون مدة تعيين مجلس الإدارة؟,لا تزيد مدة تعيين مجلس الإدارة على أربع سنوات.,لا تزيد على اربع سنوات.
2788,ما الذي يجب على الطرفين ألا يقوما به في لائحتهما الجوابية؟,يجب على الطرفين عدم نكران ادعاءات الطرف الآخر مجملاً في لائحتهما الجوابية.,يجب عليهم عدم منكرين ادعاء خصمه وبدء البحث في كل أمر واقي من ذلك.
5403,ما المصنفات التي لا تشملها حماية القانون وفق المادة 7؟,القوانين والأنظمة والأحكام القضائية والقرارات الإدارية والاتفاقيات الدولية والوثائق الرسمية والترجمات الرسمية لها.,المصنفات التي لا تشملها حماية القانون هي القوانين والأنظمة والأحكام القضائية وقرارات الهيئات الإدارية والأحكام الدولية والوثائق الرسمية والترجمات الرسمية.
899,ما هي الحالة التي يحق للحارس الحصول على أجر مثله؟,عندما لا يشترط الحارس الحصول على أجر ويكون من العمال الذين يعملون بأجر.,اذا اشترط الحارس اجرا استحقه بايفاء العمل وان لم يشترطه وكان ممن يعملون باجر.
4339,ما هي المدة المسموح فيها للجنة التنفيذية لتزويد المراقب بمحاضر الاجتماعات؟,يجب على اللجنة التنفيذية تزويد المراقب بمحاضر الاجتماعات خلال سبعة أيام من تاريخ انعقادها.,يجب على اللجنة التنفيذية تزويد المراقب بمحضر اجتماع الهيئة العامة لكل شركة خلال سبعة أيام من انعقاد الاجتماع.
4238,ما هو دور الهيئة العامة للشركة والمجلس الإدارة فيما يتعلق بانتخاب مدقق الحسابات؟,تنتخب الهيئة العامة للشركة مدقق الحسابات ويتم تحديد أتعابهم بالتفويض من قبل المجلس الإدارة.,يختار الهيئة العامة مدقق الحسابات وتقرر بدل أتعابهم.
5473,ما هي مسؤولية الشخص الذي وجه ونظم ابتكار المصنف الجماعي؟,يلتزم بنشر المصنف باسمه وتحت ادارته.,الشخص الذي وجه ونظم ابتكار المصنف الجماعي يكون له وحده ممارسة حقوق المؤلف في المصنف.
5836,متى يحق للنقيب أن يتخذ صفة المدعي في القضايا؟,يحق للنقيب أن يتخذ صفة المدعي في كل قضية تتعلق بافعال تمس كرامة النقابة أو كرامة أحد أعضائها.,يحق للنقيب أن يتخذ صفة المدعي في القضايا التي تتعلق بافعال تمس كرامة النقابة أو كرامة أحد أعضائها.
4035,ما هي الشروط المطلوبة لأسناد القرض وإصداره بواسطة مجلس إدارة الشركة؟,يشترط موافقة مجلس إدارة الشركة بأغلبية ثلثي أعضاء المجلس على الأقل.,يشترط في أسناد القرض موافقة مجلس إدارة الشركة بأغلبية ثلثي أعضاء المجلس على الأقل وإصدارها بواسطة مجلس إدارة الشركة.
5141,ما هو تأثير تصرف الشخص المعهود بإدارة المحل وتفقده والعناية به؟,يعتبر أنه هو صاحب ذلك المحل سواء أكان هو صاحبه الحقيقي أم لم يكن.,يعتبر الشخص الذي يشرف على إدارة المحل أو يتصرف به تصرف الشخص المعهود له أمر تفقده والعناية به أنه هو صاحب المحل سواء كان هو صاحبه الحقيقي أم لم يكن.
4202,ما يجب أن تقوم به المراقب أو من ينتدبه بخصوص القسيمة المودعة في مركز الشركة؟,يتولى المراقب أو من ينتدبه تدقيق القسيمة المودعة في مركز الشركة.,يتولى المراقب أو من ينتدبه تدقيقها.
3651,ما هي التزامات شركة التضامن تجاه أي عمل يقوم به شخص مفوض بإدارتها؟,تلتزم شركة التضامن بأي عمل يقوم به شخص مفوض بإدارتها وبأي مستند وقعه باسم الشركة، سواء كان شريكًا في الشركة أو لم يكن.,تلتزم شركة التضامن باي عمل يقوم به شخص مفوض بإدارتها أو القيام به.
957,متى يمكن للمحكمة أن تعفي الكفيل بالنفس من الغرامة التهديدية؟,يمكن للمحكمة أن تعفي الكفيل بالنفس من الغرامة التهديدية إذا أثبت عجزه عن إحضار المكفول.,يمكن للمحكمة أن تعفي الكفيل بالنفس من الغرامة التهديدية إذا أثبت عجزه عن إحضار المكفول في الوقت المعين.
5491,متى يمكن للمحكمة إلزام الشخص الحاصل على حق التقديم بتقديم التأمين أو الكفالة؟,عند قرار المحكمة أو قاضي الأمور المستعجلة بإجابة طلب صاحب الحق وتحديد نوع ومقدار التأمين.,عندما يقرر المحكمة أو قاضي الأمور المستعجلة إجابة طلب صاحب الحق.
5294,ما هي الدعاوى المتعلقة بالأعمال المصرفية التي تدخل ضمن اختصاص محاكم البداية؟,التي تزيد قيمة المطالبة في كل منها على مائة ألف دينار، بما فيها الاعتمادات والضمانات المصرفية.,الدعاوى المتعلقة بالأعمال المصرفية التي تزيد قيمة المطالبة فيها على 100 ألف دينار.
907,ما يعنيه أن يكون اتفاق على مقامرة أو رهان محظور باطلا وفقاً للمادة 915؟,يعني أن أي اتفاق يتعلق بالمقامرة أو الرهان الذي يعتبر محظوراً سيكون باطلاً وغير ملزم قانونياً.,يعني أن يكون اتفاق على مقامرة أو رهان محظور باطلاً أن يكون الاتفاق غير صحيح أو غير قانوني وفقاً للمادة 915 من القانون.
4105,ما الإجراء الذي يجب أن يتخذه الشخص الذي تم انتخابه عضواً في مجلس إدارة شركة ولم يكن حاضراً؟,يجب عليه أن يعلن عن قبوله بالعضوية أو رفضها خلال عشرة أيام من تاريخ تبليغه بنتيجة الانتخاب.,يجب على الشخص الذي تم انتخابه عضواً في مجلس إدارة شركة أن يعلن عن قبوله بتلك العضوية أو رفضها خلال عشرة أيام من تاريخ تبليغه نتيجة الانتخاب.
721,ما هو الحد الأقصى لقيمة الأجر الذي يحصل عليه المزارع في حالة فسخ عقد المزارعة؟,لا يجوز أن يتجاوز اجر المزارع قيمة حصته من المحصول في أي حال من الأحوال.,لا يجوز في الحالتين أن يتجاوز اجر مثل العمل أو الأرض قيمة حصة صاحبه من المحصول.
1863,ما العمل الذي يجب على صاحب العمل القيام به بعد تبليغه بأوراق الدعوى؟,يجب عليه تقديم جواب مفصل على اللائحة لكل واقعة وفق ما يطلبه العامل.,يجب عليه أن يقدم جواباً مفصلاً على لائحة الدعوى.
2002,كم تكون العقوبة عند تكرار حالة النقص أو الزيادة غير المبرر؟,يعاقب المخالف بالحبس مدة لا تقل عن ثلاثة أشهر وبغرامة لا تقل عن 1000 دينار ولا تزيد عن 3000 دينار.,يُعاقب بالحبس مدة لا تقل عن ثلاثة أشهر وبغرامة لا تقل عن ألف دينار ولا تزيد على ثلاثة آلاف دينار.
2906,متى يمكن للفريق الذي لم يمتثل للاشعار استخدام المستند كبينة في التدعوى؟,يمكن للفريق الذي لم يمتثل للاشعار استخدام المستند كبينة في التدعوى إذا أقنع المحكمة بوجود سبب أو عذر كاف لعدم أمتثاله للاِشعار.,يمكن للفريق الذي لم يمتثل للاشعار استخدام المستند كبينة في التدعوى إذا أقنع المحكمة بوجود سبب أو عذر كاف.
163,ما هو تعريف الفسخ والاجازة في القانون المدني الأردني؟,الفسخ أو الاجازة هما بمعنى فسخ العقد أو السماح بالتنفيذ القانوني له بشكل صريح أو دال.,الفسخ والاجازة هما تعبيران عن فسخ العقد أو إلغائه، وفقاً للمادة 181 من القانون المدني الأردني.
3533,ما العقوبة المنصوص عليها للشخص الذي يرتكب جريمة بقصد وفقا للمادة 5؟,يُعاقب بمقتضى العقوبات المنصوص عليها في قانون العقوبات وهذا القانون.,يعاقب بمقتضى العقوبات المنصوص عليها في قانون العقوبات وهذا القانون.
417,ما هي الآثار المتعلقة بتعدد طرفي التصرف التضامن بين المدينين؟,تعدد طرفي التصرف التضامن بين المدينين ينظمه في القانون المدني، ويمكن الرجوع إلى أحكام التضامن في هذا القانون لمزيد من التفاصيل.,يمكن للدائن أن يطالب بدينه كل المدينين المتضامنين أو بعضهم، ويمكن لكل مدين أن يعترض عند مطالبته بالوفاء باوجه الاعتراض الخاصة به أو المشتركة بين المدينين.
3295,ما هي المدة القصوى التي يمكن تمديدها لاصدار حكم التحكيم؟,يمكن تمديد مدة اصدار حكم التحكيم مرة واحدة أو أكثر على ألا تزيد عن اثني عشر شهرا.,اثني عشر شهرًا من تاريخ اكتمال تشكيل هيئة التحكيم.
5037,ما هي العقوبة المحتملة للفاعل إذا لم ينجم عن أفعاله مرض أو تعطيل عن العمل ولكن مدتها لم تتجاوز العشرين يومًا؟,الحبس لمدة لا تزيد على سنة أو غرامة لا تزيد على مائة دينار، أو كلتا العقوبتين.,يُعاقب بالحبس لمدة لا تزيد على سنة أو بغرامة لا تزيد على مائة دينار أو بكلتا العقوبتين.
2950,ما هي الحالات التي يُسمح فيها للمدعي بإسقاط دعواه؟,يُسمح للمدعي بإسقاط دعواه في غيبة المدعى عليه أو بموافقته إذا كان حاضرا.,يُسمح للمدعي بإسقاط دعواه في حالة غيبة المدعى عليه أو موافقته إذا كان حاضراً.
3163,متى يمكن الإثبات بالشهادة في الالتزامات التجارية بغض النظر عن قيمتها؟,يمكن الإثبات بالشهادة في الالتزامات التجارية بغض النظر عن قيمتها مع مراعاة أحكام أي قانون خاص يسمح بذلك.,يمكن الإثبات بالشهادة في الالتزامات التجارية بغض النظر عن قيمتها بموجب أحكام المادة 28.
1326,متى تعتبر مرتبة الرهن التأميني؟,تعتبر مرتبة الرهن التأميني من تاريخ تسجيله في دائرة التسجيل.,تعتبر مرتبة الرهن التأميني من تاريخ تسجيله في دائرة التسجيل.
1414,ما هي المرتبة التي يحتلها امتياز صاحب الفندق وفقاً للمادة 1443 من القانون المدني الأردني؟,يكون لامتياز صاحب الفندق مرتبة المؤجر وفقاً للمادة 1443 من القانون المدني الأردني.,يكون امتياز صاحب الفندق مرتبة المؤجر وفقاً للمادة 1443 من القانون المدني الأردني.
1415,ما هو المادة 1444 من القانون المدني الأردني؟,تتعلق المادة 1444 من القانون المدني الأردني بامتياز البائع على المنقول بالثمن وملحقاته.,المادة 1444 من القانون المدني الأردني.
4580,ماذا تحول أحكام التقادم دونه؟,تحول أحكام التقادم دون تنفيذ العقوبات.,تحول أحكام التقادم المنصوص عليها في قانون أصول المحاكمات الجزائية دون تنفيذ العقوبات.
1465,ما هي العقوبة لشخص يستخدم بيانات ومعلومات للحصول على أموال الغير؟,الحبس لمدة لا تقل عن سنتين ولا تزيد على ثلاث سنوات وغرامة لا تقل عن 5000 دينار.,يُعاقب بالحبس والغرامة.
4793,ما هو شرط تقديم الطلب لإثبات صحة الذم الموجه لموظف معين؟,يجب أن يكون ما عزاه الذام متعلقا بواجبات وظيفة الموظف أو جريمة تستلزم العقاب قانونا.,يجب أن يكون الذم متعلقا بواجبات وظيفة الموظف المعتدى عليه أو يكون جريمة تستلزم العقاب قانونا.
3557,ما هو الموضوع الرئيسي للتشريع؟,الحجز والتحفظ على الأموال التي تم الحصول عليها نتيجة ارتكاب جرائم اقتصادية.,الموضوع الرئيسي للتشريع هو الجرائم الاقتصادية.
1714,ما هو تقديم المادة 64 من القانون؟,تقديم المادة 64 من القانون يعتبر باطلا كل اتفاق يقضي بتنازل العامل عن اجازته السنوية أو عن أي جزء منها.,تعد المادة 64 من القانون باطلا كل اتفاق يقضي بتنازل العامل عن اجازته السنوية أو عن أي جزء منها.
5069,ما هو نص المادة 354 من القانون؟,المادة 354 تنص على أن كل تهديد بإنزال ضرر غير محق يُعاقب عليه بالحبس أو بغرامة.,تحدد المادة 354 من القانون عقوبة كل تهديد آخر بإنزال ضرر غير محق.
4584,متى يمكن غامة الأمر بوقف تنفيذ العقوبة؟,إذا صدر حكم بالحبس لمدة تزيد على شهر واحد بعد صدور الأمر بالوقف.,عندما يصبح الحكم قطعيًا.
1209,ما تأثير تنازل المنتفع عن حق الانتفاع على التزاماته؟,لا يؤثر تنازل المنتفع عن حق الانتفاع على التزاماته لمالك العين المنتفع بها ولا على حقوق الغير.,لا يؤثر تنازل المنتفع عن حق الانتفاع على التزاماته لمالك العين المنتفع بها ولا على حقوق الغير.
4573,متى يكون التضامن ساري المفعول في الالتزامات المدنية؟,يكون التضامن ساري المفعول في الالتزامات المدنية فقط إذا حُكم على الأشخاص بجريمة واحدة في نفس الدعوى.,يكون التضامن ساري المفعول في الالتزامات المدنية عندما يحكم على جميع الأشخاص الذين حكم عليهم من أجل جريمة واحدة.
286,في أي سياق يجب عدم الإخلال بأحكام الضمان وفقاً للمادة 291؟,يجب عدم الإخلال بأحكام الضمان مع مراعاة ما يرد فيها من أحكام خاصة.,يجب عدم الإخلال بأحكام الضمان وفقاً للمادة 291 في سياق الأشياء والآلات.
5820,ماذا يحدث إذا تحتوت الأوراق على أسماء أكثر من العدد المطلوب؟,يُهمل منها الأسماء الزائدة عن العدد المطلوب.,تُهمل الاسماء الأخيرة الزائدة.
5389,ما هي الأعمال التي تتمتع بالحماية في مجال الفنون التطبيقية؟,الزخرفية والعمارة واعمال الرسم والتصوير والنحت.,اعمال الرسم والتصوير والنحت والعمارة والفنون التطبيقية والزخرفية.
3132,ما هي الشروط اللازمة لإعطاء الصور الخطية والفوتوغرافية قوة السند الرسمي؟,يجب أن يكون اصل السند الرسمي موجوداً، وأن تكون الصور نقلت منه وصدرت عن موظف عام في حدود اختصاصه.,يجب أن تكون الصور الخطية والفوتوغرافية التي نقلت من السند الرسمي وصدرت عن موظف عام في حدود اختصاصه.
3825,من يحتاج إلى موافقة المراقب لتسجيل شركة توصية بالأسهم؟,إدارة الشركة.,يحتاج إلى موافقة المراقب لتسجيل شركة التوصية بالأسهم.
2675,ما هو القانون الذي يُلغى ويُعدل في البند التاسع عشر من المادة 369؟,قانون أصول المحاكمات الجزائية رقم 76 لسنة 1951 وما طرأ عليه من تعديلات.,قانون أصول المحاكمات الجزائية (المحاكمات الإتهامية) رقم 22 لسنة 1946.
