id,question,ground_truth,llama3.1_instruct
1221,ما هو تأثير زوال البناء أو الغراس على حق المساطحة؟,لا ينتهي حق المساطحة بزوال البناء أو الغراس قبل انتهاء المدة.,"لا ينتهي حق المساطحة بزوال البناء أو الغراس قبل انتهاء المدة.

### Explanation:
حسناً. في المادة 1231 من قانون الأراضي في الأردن، يتم تأكيد أن حق المساطحة لا ينتهي بزوال"
5512,ما هي العقوبات المترتبة على الأفراد الذين يخالفون أحكام المادة 54؟,يتم اتخاذ إجراءات قانونية ضدهم وفقا لأحكام المواد 46 و47 و49 و50 و51 من القانون.,"الجواب هو: العقوبات المترتبة على الأفراد الذين يخالفون أحكام المادة 54 هي:
- السجن لمدة لا تقل عن سنة ولا تزيد على خمس سنين مع الغرامة من (500) إلى (5000) دينار.
- الغ"
5316,ما هي المدن التي تشكل محاكم استئناف فيها وتعين لكل منها رئيس وقضاة؟,تشكل محاكم استئناف في عمان واربد ومعان، وتعين لكل منها رئيس وعدد من القضاة.,المدن التي تشكل محاكم استئناف فيها وتعين لكل منها رئيس وقضاة هي عمان، أردن، معان.   وتعين لكل منها رئيس وقضاة.    وتشكل محاكم استئناف في كل من هذه المدن.    وتعين
3364,متى يلزم الدائن بإثبات وجود التركة في يد الورثة؟,يلزم الدائن إثبات وجود التركة في يد الورثة بدعوى أصلية إذا انكر الورثة ملكية أموال التركة.,"ب. اذا انكر الورثة إيلولة أموال التركة، كلها أو بعضها، اليهم ولم يتمكن الدائن من اثبات ذلك بأوراق رسمية. 
يجب على الدائن اثبات وجود التركة في يد الورثة بيدعوى"
4785,ماذا يحدث إذا كانت أعمال العنف تستوجب عقوبة أشد من تلك المنصوص عليها في المواد السابقة؟,يضاف إلى العقوبة التي يستحقها الفاعل من الثلث إلى النصف.,"إذا كانت أعمال العنف تستوجب عقوبة أشد من تلك المنصوص عليها في المواد السابقة، يضاف إلى العقوبة التي يستحقها الفاعل بمقتضى أحكام هذا القانون من الثلث إلى النصف. 

مثال: إذا كان الفاع"
4709,كيف يتم تحديد إذا كانت العملية المصرفية لها علاقة بنشاط إرهابي؟,يتم التحقيق في القضية وإذا ثبت للمدعي العام أن للعملية العلاقة بنشاط إرهابي يتم إحالة القضية إلى المحكمة المختصة.,"يتم تحديد إذا كانت العملية المصرفية لها علاقة بنشاط إرهابي عن طريق إجراءات محددة، تشمل:
1.  منع التصرف بالأموال من قبل المدعي العام حتى استكمال التحقيق.
2.  تنسيق المدعي العام مع"
5254,ما هي الممارسات المحظورة التي يجرمها القانون فيما يتعلق بنظام المياه؟,التنقيب بدون إذن، الحفريات العميقة، النزع من الضفاف، التعدي على حدود المياه، ومنع جري المياه العمومية.,تجرم المادة 455 من قانون العقوبات في نظام المياه في الأردن القيام بأعمال التنقيب عن المياه الكائنة تحت الأرض أو المتفجرة أو حصرها، أو إجراء حفريات تبعد عن حد ضفاف مجاري المياه ومع
3005,ما هي الأسباب التي قد تدفع المحكمة لإصدار مذكرة بحظر مغادرة البلاد؟,الأسباب تشمل تصرف المدعى عليه بجميع أمواله، أو هروبها خارج البلاد، أو نية المغادرة بغرض تأخير دعوى الخصم.,"قد تدفع المحكمة لإصدار مذكرة بحظر مغادرة البلاد إذا اقتنعت بوجود أسباب كالآتي:
- تصرف المدعي أو المدعى بجميع أمواله أو هربها خارج البلاد.
- وجود رغبة من المدعي أو المد"
661,ما هو الموضوع القانوني الذي يتناوله هذا النص؟,يتناول هذا النص الباب الثاني- عقود المنفعة - القانون المدني الأردني لسنة 1976 الفصل الأول- الإجارة - من القانون المدني الأردني لسنة 1976 المحافظة على الماجور.,الموضوع القانوني الذي يتناوله هذا النص هو الإجارة، والتحديد أكثر في المحافظة على الماجور، ويعني ذلك الحفاظ على حالته أو حالته الأصلية عند إنهاء الإجارة أو عند حدوث أي تغيير في الماجور
1569,هل يمكن لأي قانون آخر أو عقد عمل يمنح العامل حقوقا أفضل من تلك المنصوص عليها في هذا القانون؟,نعم، يمكن لأي قانون آخر أو عقد عمل أو اتفاق يمنح العامل حقوقا أفضل من تلك المنصوص عليها في هذا القانون دون تأثير على حقوقه المقررة في هذا القانون.,"لا يمكن لأي قانون آخر أو عقد عمل يمنح العامل حقوقا أفضل من تلك المنصوص عليها في هذا القانون، وذلك كما هو موضح في المادة 4 من القانون.

وإذا كان العامل يتعاقد أو يتفق على حقوق أفضل من تلك المنصوص عليها"
1513,ما هي الوسائل التي يمكن للأشخاص استخدامها لنشر معلومات عن الأشخاص الذين يتولون تنفيذ أحكام القانون؟,يمكنهم استخدام شبكة معلوماتية، تقنية المعلومات، نظام المعلومات، موقع إلكتروني، منصة تواصل اجتماعي، أو أي وسيلة نشر إلكترونية أخرى.,تستطيع الأشخاص استخدام شبكة المعلومات أو تقنية المعلومات أو نظام المعلومات أو موقع إلكتروني أو منصة تواصل اجتماعي أو أي وسيلة نشر إلكترونية أخرى لنشر معلومات عن الأشخاص الذين يتولون تنفيذ أحكام القانون، إذا كان من
1467,ما هو نتيجة استيلاء شخص على مال مملوك للغير باستخدام بيانات ومعلومات؟,الحبس لمدة ثلاث سنوات وغرامة لا تقل عن 10000 دينار.,"الإجابة الصحيحة هي: 
تكون العقوبة الحبس مدة ثلاث سنين وغرامة لا تقل عن (10000) عشرة آلاف دينار ولا تزيد على (20000) عشرين ألف دينار. 

وذلك وفقاً للمادة 8 ب من قانون"
4966,ماذا يحدث إذا لم تكن الفتاة المجني عليها قد أكملت الثانية عشرة من عمرها؟,يُعتبر الشخص مرتكبا لجريمة الاغتصاب ويُعاقب بالعقوبة المنصوص عليها في القانون.,إذا لم تكن الفتاة المجني عليها قد أكملت الثانية عشرة من عمرها، يعد مرتكبا للجرم المنصوص عليه في الفقرة (2) من المادة (292) من هذا القانون، ويعاقب بالعقوبة المنصوص عليها فيها
5293,ما الدعاوى التي تختص بها غرفة قضائية للنظر في الدعاوى الحقوقية؟,الدعاوى المتعلقة بالعقود، الشركات، الأوراق المالية، التأمين، التجارة، والمزيد.,تنشأ في محكمة البداية غرفة قضائية للنظر في الدعاوى الحقوقية. ويجب أن تضم كل غرفة هيئة واحدة أو أكثر، وفقاً لما يحدده رئيس محكمة البداية، بحسب الحاجة. كما يحد
4137,ما الذي يحظر على رئيس وأعضاء مجلس إدارة الشركة المساهمة العامة؟,يحظر عليهم أن يفشوا معلومات سرية عن الشركة لأي شخص.,يحظر على رئيس وأعضاء مجلس إدارة الشركة المساهمة العامة ومديرها العام أو أي موظف يعمل فيها أن يفشي إلى أي مساهم في الشركة أو إلى غيره أي معلومات أو بيانات تتعلق بالشركة وتعتبر ذات طبيعة سرية بالنسبة لها. هذا الح
3112,ما هو التأثير الذي يترتب على طلب اعادة المحاكمة طبقاً للمادة 217؟,لا يترتب على طلب اعادة المحاكمة وقف تنفيذ الحكم ما لم تقرر المحكمة خلاف ذلك.,"لا يترتب على طلب اعادة المحاكمة طبقاً للمادة 217 وقف تنفيذ الحكم ما لم تقرر المحكمة خلاف ذلك. 
(مادة 217 من قانون الإجراءات الجنائية). 

### Note:
تم إضافة المادة 217 من"
1098,ماذا يتولى وصي التركة بعد تسوية ديونها؟,يتولى وصي التركة بعد تسوية ديونها تنفيذ وصايا المورث وغيرها من التكاليف.,يتولى وصي التركة بعد تسوية ديونها تنفيذ وصايا المورث وغيرها من التكاليف. هذا يعني أن وصي التركة سيتولى إدارة أموال التركة بعد دفع ديونها، ثم يتولى تنفيذ وصايا المور
2099,من الذين يوقعون على الجرم المشهود وفقًا للمادة 38؟,المدعي العام والكاتب والأشخاص المذكورون فيها.,"يوقع المدعي العام والكاتب وال أشخاص المذكورون في المادة 37 على الجرم المشهود.     
المادة 37 في قانون الإجراءات الجنائية في الأردن.     
المادة 37     
الجرم المشهود
الباب الثاني -"
3156,ما هو شرط سحب الورقة أو السند الذي يقدمه الخصم في الدعوى؟,يجوز للخصم سحب الورقة أو السند برضا خصمه وبأذن خطي من رئيس المحكمة بعد تحفظ صورة مصدقة عنه.,لا يجوز سحب الورقة أو السند الذي يقدمه الخصم في الدعوى إلا برضا خصمه وبأذن خطي من رئيس المحكمة بعد أن تحفظ صورة مصدقة عنه في إضبارة الدعوى. هذا الشرط هو شرط
5214,ما يتضمنه العقاب وفق المادة 437 من القانون؟,العقاب يتناول الشروع في ارتكاب الجرائم المنصوص عليها في المادة 430 وما يليها من المواد الواردة في الفصل الرابع، ويشمل الإفلاس والغش إضرارا بالدائن الإفلاس.,يتضمن العقاب وفق المادة 437 من القانون الشروع في ارتكاب الجرائم المنصوص عليها في المادة (430) وما يليها من المواد الواردة في الفصل الرابع. ويشمل ذلك الإفلاس والغش إضرارا بالدائ
1805,ما يمكن للعامل المطالبة به إذا تعرض للفصل التعسفي؟,يمكن للعامل المطالبة بتعويض الفصل التعسفي وأي حقوق أخرى مترتبة له.,إذا تعرض العامل للفصل التعسفي، يمكنه المطالبة بتعويض الفصل التعسفي، بالإضافة إلى تعويض إضافي لا يقل عن أجور ستة أشهر ولا يزيد على اثني عشر شهرا إذا لم يتمكن من العودة إلى عم
5865,ما هي النقطة التي يركز عليها القانون بشكل خاص بخصوص تعيين الاشتراكات والرسوم السنوية وكيفية تحصيلها وتسوية وصرف رواتب التقاعد؟,يركز القانون بصورة خاصة على تعيين الاشتراكات والرسوم السنوية وكيفية تحصيلها وتسوية وصرف رواتب التقاعد.,يُركز القانون بشكل خاص على تعيين الاشتراكات والرسوم السنوية وكيفية تحصيلها وتسوية وصرف رواتب التقاعد. يُشير القانون إلى ضرورة صياغة الانظمة المعمول بها في هذا القانون، ويشدد على أن
3337,ما هي شروط قبول طلب تنفيذ حكم التحكيم؟,يجب أن يكون موعد رفع دعوى بطلان الحكم قد انقضى ويجب تقديم طلب التنفيذ الى محكمة التمييز.,"يجب على الطلبة تقديم طلب التنفيذ إلى محكمة التمييز، يرافق طلب التنفيذ بما يلي:
1- صورة اتفاق التحكيم.
2- اصل الحكم أو صورة موقعة عليه.
3- ترجمة لحكم التحكيم مص"
3660,ما الشرط الوحيد الذي يجب توافره لإمكانية انسحاب الشريك من شركة التضامن؟,يجب تبليغ المراقب والشركاء الآخرين برغبته بالانسحاب كتابياً.,الشرط الوحيد الذي يجب توافره لإمكانية انسحاب الشريك من شركة التضامن هو أن تكون الشركة غير محدودة المدة. إذا كانت شركة التضامن لمدة محدودة، فلا يجوز للشريك الانسحاب منها خلال تلك الم
2841,ما هو تأثير عدم صحة الإفصاح على تقرير الخبرة؟,يبطل تقرير الخبرة في حالة عدم صحة الإفصاح.,"إذاً الإجابة هي: يبطل تقرير الخبرة. 
في حالة عدم الإفصاح، يبطل تقرير الخبرة، ويلزم الخبير برد ما قبضه من أجر. هذا بناء على المادة 83 من قانون المحاكم. 
في"
2639,من يُحال القرار النهائي بشأن إعدام الجاني إليه؟,يحال إلى جلالة الملك بعد اتخاذه من قبل مجلس الوزراء.,يُحال القرار النهائي بشأن إعدام الجاني إلى جلالة الملك. يرفع وزير العدلية أوراق الدعوى مع التقرير إلى رئيس مجلس الوزراء للاحالتها على المجلس. يراع مجلس الوزراء في الأوراق
523,ما هو تأثير عقد المخارجة على حصة البائع الارثية؟,ينقل عقد المخارجة حصة البائع الارثية الى المشتري ويحل محل البائع في استحقاق نصيبه من التركة.,يؤدي عقد المخارجة إلى نقل حصة البائع الارثية إلى المشتري، وبالتالي يعد هذا العقد بمثابة استبدال البائع في استحقاق نصيبه من التركة. يضمن هذا أن الحصة التي ينوي البائع إ
657,ماذا يعني تعدد المستأجرين وكل منهم ضامنًا للاضرار؟,يعني أنه إذا كان هناك أكثر من مستأجر، فإن كل منهم مسؤول عن الأضرار التي تحدث نتيجة لتقصيره أو تعديه.,يُعتبر كل من المستأجرين ضامنًا للاضرار الناشئة عن تعديه أو تقصيره، إذا تعدد المستأجرين في عقد الإجارة. هذا يعني أن كل منهم مسؤول عن أي ضرر يحدث نتيجة لتع
234,ماذا يحدث عندما يجتمع المباشر والمتسبب؟,يضاف الحكم إلى المباشر.,إذا كان المباشر والمتسبب متساويين في الحق في الضمان، يضاف الحكم إلى المباشر، وينعكس هذا في المادة 258 من القانون المدني الأردني لسنة 1976، التي تنص على أن إذا اجتمع المباشر
477,متى لا تسمع الدعوى بفسخ العقد أو انقاص الثمن أو تكملته؟,عندما ينقضي مدة سنة على تسليم المبيع.,لا تسمع الدعوى بفسخ العقد أو انقاص الثمن أو تكملته إذا انقضت سنة على تسليم المبيع، وفقاً للمادة 493. هذا يعني أن إذا كان تسليم المبيع قد وقع سنة أو أكثر، فلا يمكن سماع الد
1767,متى لا تنطبق أحكام الفقرة (أ) من المادة 94؟,عندما تنشأ الإصابة عن حالات تسبب الوفاة أو العجز الدائم بنسبة لا تقل عن 30%.,لا تنطبق أحكام الفقرة (أ) من المادة 94 إلا إذا نشأت الإصابة عن أحد الحالات المنصوص عليها في الفقرة (ب) من نفس المادة، وهي حالات الإصابة التي تنتهي بتوفيق المصاب أو أصابته بع
1608,ما الحق الذي يحصل عليه العامل في حال انهاء صاحب العمل عقد العمل محدد المدة؟,يحق للعامل استيفاء جميع الحقوق والمزايا التي ينص عليها العقد والأجور التي تستحق حتى انتهاء المدة المتبقية.,يستحق العامل في حال انهاء صاحب العمل عقد العمل محدد المدة الأجور التي تستحق حتى انتهاء المدة المتبقية من العقد، كما يحق له استيفاء جميع الحقوق والمزايا التي ينص عليها العقد. وإذا كان إنهاء
3307,ما يعني قرار المحكمة المختصة في حالة الطعن بقرار هيئة التحكيم؟,يكون قرار المحكمة المختصة قطعياً.,في حالة الطعن بقرار هيئة التحكيم، يعني قرار المحكمة المختصة في هذا الصدد أنه يتم إصدار حكم قطعي يحدد مصير الطعن ووضعية القرار المطعون فيه. يعتبر هذا القرار بمثابة حكم نهائي
1258,ما الشرط الذي يتعين تحققه لحفظ حق المالك بين عقارين منفصلين بعد انتقالهما؟,يجب أن يبقى الحق مجرداً وظاهراً بين العقارين دون تغيير في حالتهما.,"يجب أن يبقى الحق المجرد ظاهراً بين العقارين.

### Reasoning:
المادة 1275 تنص على أن حق الملكية المجرد بين عقارين منفصلين يمكن أن يحفظ إذا انتقلت العقاران أو أحدهما إلى أيدي مالكي"
5544,ما هي الدعاوى التي يمكن لمحكمة الصلح النظر فيها بصرف النظر عن قيمتها إذا كانت مرتبطة بالأموال المنقولة؟,دعاوى تقسيم الأموال المنقولة.,يُختص قاضي الصلح بالنظر في الدعاوى والطلبات المتعلقة بدين أو مال منقول أو غير منقول بشرط ألا تتجاوز قيمة المدعى به عشرة آلاف دينار، أو الدعاوى المتقابلة مهما
351,ما هي الحالة الوحيدة التي يعفى فيها المدين من الحاجة إلى اعذار؟,الحالة الوحيدة التي يعفى فيها المدين من الحاجة إلى اعذار هي اذا صرح المدين كتابة انه لا يريد القيام بالتزامه وفقاً للمادة 362.,"لا ضرورة لاعذار المدين في الحالات الآتية:
1. اذا أصبح تنفيذ الالتزام غير ممكن أو غير مجد بفعل المدين.
2. اذا كان محل الالتزام تعويضا ترتب على عمل غير مشروع.
3."
2832,ما الإجراء الذي تتخذه المحكمة إذا تخلف الشاهد عن الحضور دون معذرة مشروعة؟,تصدر مذكرة احضار بحقه.,إذا تخلف الشاهد عن الحضور دون معذرة مشروعة، يجوز للمحكمة أن تصدر مذكرة احضار بحقه، وتحكم عليه بالحبس لمدة لا تزيد على أسبوع أو بغرامة لا تزيد على عشرة دنانير
136,ما العقوبة المترتبة على الزوج في حال قام بإجبار زوجته على التنازل عن حق لها؟,يكون تصرف الزوج في هذه الحالة غير نافذ ولا تكون له أي تأثير قانوني.,لا توجد عقوبة محددة في قانون 1976 في حال قام الزوج بإجبار زوجته على التنازل عن حقها. على الرغم من ذلك، يعتبر الإجبار على التنازل عن الحقوق أو منح المال بدون رغبتها بمثابة تص
4964,ما هي العقوبة المنصوص عليها للشخص الذي يرتكب جريمة الاغتصاب وفق المادة 293؟,يعاقب الشخص الذي يرتكب جريمة الاغتصاب وفق المادة 293 بالعقوبة المنصوص عليها في المادة 292 من القانون.,"الجواب هو: 
تعاقب مرتكب الجريمة بالسجن الأربعة سنين و الغرامات من مائة إلى مئتي دينار.  و في حالة الإصابة بالمرض النفسي نتيجة للجريمة، تعاقب بال"
3869,كم تكون مدة تعيين مجلس الإدارة؟,لا تزيد مدة تعيين مجلس الإدارة على أربع سنوات.,حسب المادة 72 - مكررة في قانون شركات المساهمة الخاصة في الأردن، يحدد النظام الأساسي للشركة مدة تعيين مجلس الإدارة، لكنها لا تزيد عن أربع سنوات. هذه المادة تشير إلى أن مجلس الإدارة يحدد صلاح
2788,ما الذي يجب على الطرفين ألا يقوما به في لائحتهما الجوابية؟,يجب على الطرفين عدم نكران ادعاءات الطرف الآخر مجملاً في لائحتهما الجوابية.,"يجب على الطرفين ألا يقوما بهما ما يلي في لائحتهما الجوابية:
أ- إنكار ادعاء الخصم في اللائحة المقدمة منه.
ب- عدم الرد على البنود الواردة في لائحة الخصم"
5403,ما المصنفات التي لا تشملها حماية القانون وفق المادة 7؟,القوانين والأنظمة والأحكام القضائية والقرارات الإدارية والاتفاقيات الدولية والوثائق الرسمية والترجمات الرسمية لها.,"لا تشمل حماية القانون وفق المادة 7، المصنفات التي لا تشملها حماية القانون هي:
أ- القوانين والأنظمة والأحكام القضائية وقرارات الهيئات الادارية والاتفاقيات الدولية وسائر الوثائق الرسمية"
899,ما هي الحالة التي يحق للحارس الحصول على أجر مثله؟,عندما لا يشترط الحارس الحصول على أجر ويكون من العمال الذين يعملون بأجر.,حسناً. يعتبر الحارس الشخص الذي يقوم بحراسة المكان أو الموقع أو الممتلكات، ويقوم بذلك عن طريق مراقبة وتأمين المكان أو الموقع أو الممتلكات. في حال كان الحارس يأجر عملًا محددًا،
4339,ما هي المدة المسموح فيها للجنة التنفيذية لتزويد المراقب بمحاضر الاجتماعات؟,يجب على اللجنة التنفيذية تزويد المراقب بمحاضر الاجتماعات خلال سبعة أيام من تاريخ انعقادها.,المادة 230 من قانون الشركات في الأردن تحدد أن اللجنة التنفيذية تودي المراقب بمحاضر اجتماع الهيئة العامة لكل شركة خلال سبعة أيام من تاريخ انعقاد الاجتماع. هذا يعني أن اللجنة التنفيذية لديها
4238,ما هو دور الهيئة العامة للشركة والمجلس الإدارة فيما يتعلق بانتخاب مدقق الحسابات؟,تنتخب الهيئة العامة للشركة مدقق الحسابات ويتم تحديد أتعابهم بالتفويض من قبل المجلس الإدارة.,يتم انتخاب مدقق الحسابات من قبل الهيئة العامة لكل من الشركة المساهمة العامة وشركة التوصية بالأسهم والشركة المحدودة المسؤولية والشركة المساهمة الخاصة، حيث تنتخب الهيئة العامة مدققاً أو أكثر من بين مدققي الح
5473,ما هي مسؤولية الشخص الذي وجه ونظم ابتكار المصنف الجماعي؟,يلتزم بنشر المصنف باسمه وتحت ادارته.,المسؤولية للشخص الذي وجه ونظم ابتكار المصنف الجماعي هي ممارسة حقوق المؤلف في المصنف، وهو الحق الوحيد في ممارسة حقوق المؤلف في المصنف. هذا هو ما يحدده القانون في المادة 35. يُعت
5836,متى يحق للنقيب أن يتخذ صفة المدعي في القضايا؟,يحق للنقيب أن يتخذ صفة المدعي في كل قضية تتعلق بافعال تمس كرامة النقابة أو كرامة أحد أعضائها.,"حسناً. يعتبر النقيب يحق له ان يتخذ صفة المدعي في القضايا المتعلقة بافعال تمس كرامة النقابة او كرامة احد اعضائها.  
المصدر: قانون النقيب. 
المصدر: قانون"
4035,ما هي الشروط المطلوبة لأسناد القرض وإصداره بواسطة مجلس إدارة الشركة؟,يشترط موافقة مجلس إدارة الشركة بأغلبية ثلثي أعضاء المجلس على الأقل.,يجب أن تحصل على موافقة مجلس إدارة الشركة بأغلبية ثلثي أعضاء المجلس على الأقل، وايضا يجب الحصول على موافقة الهيئة العامة غير العادية للشركة. إذا كانت الأسناد قابلة للتحويل إلى أسهم، في
5141,ما هو تأثير تصرف الشخص المعهود بإدارة المحل وتفقده والعناية به؟,يعتبر أنه هو صاحب ذلك المحل سواء أكان هو صاحبه الحقيقي أم لم يكن.,"يتأثر تصرف الشخص المعهود بإدارة المحل وتفقده والعناية به بحيث يعتبر أنه هو صاحب ذلك المحل، سواء كان هو صاحبه الحقيقي أم لم يكن.

### Note:
سوف أقوم بكتابة الإجابة باللغة العربية"
4202,ما يجب أن تقوم به المراقب أو من ينتدبه بخصوص القسيمة المودعة في مركز الشركة؟,يتولى المراقب أو من ينتدبه تدقيق القسيمة المودعة في مركز الشركة.,يجب على المراقب أو من ينتدبه، أن يقوم بتدقيق القسيمة المودعة في مركز الشركة قبل اجتماع الهيئة العامة. هذا، بالإضافة إلى أنه يجب أن تودع القسيمة في مركز الشركة قبل ثلاثة أيام على الأقل من التاريخ المحد
3651,ما هي التزامات شركة التضامن تجاه أي عمل يقوم به شخص مفوض بإدارتها؟,تلتزم شركة التضامن بأي عمل يقوم به شخص مفوض بإدارتها وبأي مستند وقعه باسم الشركة، سواء كان شريكًا في الشركة أو لم يكن.,تلتزم شركة التضامن باي عمل قام به أي شخص مفوض بإدارتها أو القيام بذلك العمل وبأي مستند وقعه باسم الشركة سواء كان شريكاً في الشركة أو لم يكن. ويعتبر الشخص المفوض بإدارة شؤون
957,متى يمكن للمحكمة أن تعفي الكفيل بالنفس من الغرامة التهديدية؟,يمكن للمحكمة أن تعفي الكفيل بالنفس من الغرامة التهديدية إذا أثبت عجزه عن إحضار المكفول.,يمكن للمحكمة أن تعفي الكفيل بالنفس من الغرامة التهديدية إذا أثبت عجزه عن إحضار المكفول في الوقت المعين. كما أن المحكمة لها الصلاحية أن تعفيه من الغرامة إذا تبين لها ما يبر
5491,متى يمكن للمحكمة إلزام الشخص الحاصل على حق التقديم بتقديم التأمين أو الكفالة؟,عند قرار المحكمة أو قاضي الأمور المستعجلة بإجابة طلب صاحب الحق وتحديد نوع ومقدار التأمين.,ينبغي للمحكمة أن تُلزم الشخص الحاصل على حق التقديم بتقديم التأمين أو الكفالة إذا قررت إجابة طلب صاحب الحق في أي من الحالات المنصوص عليها في الفقرة (أ) من المادة 46
5294,ما هي الدعاوى المتعلقة بالأعمال المصرفية التي تدخل ضمن اختصاص محاكم البداية؟,التي تزيد قيمة المطالبة في كل منها على مائة ألف دينار، بما فيها الاعتمادات والضمانات المصرفية.,يدخل الدعاوى المتعلقة بالأعمال المصرفية التي تزيد قيمة المطالبة فيها على مائة ألف دينار ضمن اختصاص محاكم البداية. كما تشمل هذه الدعاوى الدعاوى المتعلقة بالاعتمادات المستندية وخطابات الضمان
907,ما يعنيه أن يكون اتفاق على مقامرة أو رهان محظور باطلا وفقاً للمادة 915؟,يعني أن أي اتفاق يتعلق بالمقامرة أو الرهان الذي يعتبر محظوراً سيكون باطلاً وغير ملزم قانونياً.,حسناً. وفقاً للمادة 915، يعني أن يكون اتفاق على مقامرة أو رهان محظور باطلاً أن مثل الاتفاق يكون غير صحيح أو غير ملزم، مما يعني أن المشاركين في مثل الاتفاق لا يلتزمون بمعاه
4105,ما الإجراء الذي يجب أن يتخذه الشخص الذي تم انتخابه عضواً في مجلس إدارة شركة ولم يكن حاضراً؟,يجب عليه أن يعلن عن قبوله بالعضوية أو رفضها خلال عشرة أيام من تاريخ تبليغه بنتيجة الانتخاب.,يجب أن يتخذ الشخص الذي تم انتخابه عضوا في مجلس إدارة شركة ولم يكن حاضراً الإجراء التالي: إعلان قبوله بتلك العضوية أو رفضها خلال عشرة أيام من تاريخ تبليغه نتيجة الانتخاب. ويع
721,ما هو الحد الأقصى لقيمة الأجر الذي يحصل عليه المزارع في حالة فسخ عقد المزارعة؟,لا يجوز أن يتجاوز اجر المزارع قيمة حصته من المحصول في أي حال من الأحوال.,يحصل المزارع على جار أجر مثل عمله في حالة فسخ عقد المزارعة، والذي لا يجوز أن يتجاوز قيمة حصة صاحبه من المحصول. إذا كان صاحب البذر هو المزارع، فإنه يحصل على جار أجر مثل
