id,question,ground_truth,llama3.1
1221,ما هو تأثير زوال البناء أو الغراس على حق المساطحة؟,لا ينتهي حق المساطحة بزوال البناء أو الغراس قبل انتهاء المدة.,"لا يؤثر زوال البناء أو الغراس على حق المساطحة ، لأنه يظل في الحقوق المتفرعة عن حق الملكية ، ويستمر حتى انتهاء المدة المحددة.

### Answer in English:
The expiration of the building or grass does not affect the"
5512,ما هي العقوبات المترتبة على الأفراد الذين يخالفون أحكام المادة 54؟,يتم اتخاذ إجراءات قانونية ضدهم وفقا لأحكام المواد 46 و47 و49 و50 و51 من القانون.,"العقوبات المترتبة على الأفراد الذين يخالفون أحكام المادة 54 هي:
1. الحبس لحد مدة ثلاث سنوات.
2. الغرامة من 1000 دينار لحد 5000 دي"
5316,ما هي المدن التي تشكل محاكم استئناف فيها وتعين لكل منها رئيس وقضاة؟,تشكل محاكم استئناف في عمان واربد ومعان، وتعين لكل منها رئيس وعدد من القضاة.,"The cities that form appellate courts and appoint each of them a president and judges are: Amman, Arba, and Maan.

### Explanation:
The article 6 says that appellate courts are formed in Amman, Arba, and Maan. And each of them appoints a president and a number of judges"
3364,متى يلزم الدائن بإثبات وجود التركة في يد الورثة؟,يلزم الدائن إثبات وجود التركة في يد الورثة بدعوى أصلية إذا انكر الورثة ملكية أموال التركة.,م. اذا انكر الورثة ايلولة اموال التركة ، كلها او بعضها ، اليهم ولم يتمكن الدائن من اثبات ذلك بأوراق رسم
4785,ماذا يحدث إذا كانت أعمال العنف تستوجب عقوبة أشد من تلك المنصوص عليها في المواد السابقة؟,يضاف إلى العقوبة التي يستحقها الفاعل من الثلث إلى النصف.,"أ- ماذا يحدث إذا كانت أعمال العنف تستوجب عقوبة أشد من تلك المنصوص عليها في المواد السابقة؟
أ- إذا كانت أعمال العنف تستوجب عقوبة أشد من تلك المنصوص عليها في المواد السابقة ، ضم الى العق"
4709,كيف يتم تحديد إذا كانت العملية المصرفية لها علاقة بنشاط إرهابي؟,يتم التحقيق في القضية وإذا ثبت للمدعي العام أن للعملية العلاقة بنشاط إرهابي يتم إحالة القضية إلى المحكمة المختصة.,"The law in question is article 147 of the Jordanian penal code. The article states that ""banking operations suspected of having a relation to terrorist activities"" are to be treated differently than other banking operations. The article provides a definition of what constitutes a terrorist act and describes the penalties for such acts. The article also"
5254,ما هي الممارسات المحظورة التي يجرمها القانون فيما يتعلق بنظام المياه؟,التنقيب بدون إذن، الحفريات العميقة، النزع من الضفاف، التعدي على حدود المياه، ومنع جري المياه العمومية.,"The law prohibits the following practices in relation to the water system:
1- The practice of digging for water that is located underground or that is exploding or trapping it unless the purpose is to dig non-exploding wells on private property.
2- The practice of digging that is less than the depth of the excavation from the"
3005,ما هي الأسباب التي قد تدفع المحكمة لإصدار مذكرة بحظر مغادرة البلاد؟,الأسباب تشمل تصرف المدعى عليه بجميع أمواله، أو هروبها خارج البلاد، أو نية المغادرة بغرض تأخير دعوى الخصم.,لنبدأ بذكر بعض الحالات التي قد تصل فيها إلى هذه المذكرة بحظر مغادرة البلاد، ويمكننا أن نقول بأنها في حالات عدم تقديم الكفالة المالية أو الدينية، أو عدم تقديم الكفالة المالية أو الدي
661,ما هو الموضوع القانوني الذي يتناوله هذا النص؟,يتناول هذا النص الباب الثاني- عقود المنفعة - القانون المدني الأردني لسنة 1976 الفصل الأول- الإجارة - من القانون المدني الأردني لسنة 1976 المحافظة على الماجور.,"The legal issue that this text addresses is the subject of Article 694 of the Jordanian Civil Law of 1976. Article 694 states that ""it is not permissible for the tenant to make any change in the major without the permission of the owner, except if it is necessary for the repair of the major and"
1569,هل يمكن لأي قانون آخر أو عقد عمل يمنح العامل حقوقا أفضل من تلك المنصوص عليها في هذا القانون؟,نعم، يمكن لأي قانون آخر أو عقد عمل أو اتفاق يمنح العامل حقوقا أفضل من تلك المنصوص عليها في هذا القانون دون تأثير على حقوقه المقررة في هذا القانون.,"Yes, any other law or contract may provide better rights to an employee than those specified in this law. For example, an employment contract may provide better rights to an employee than those specified in this law. Article 4 stipulates that the provisions of this law do not affect any right granted to an employee by any other"
1513,ما هي الوسائل التي يمكن للأشخاص استخدامها لنشر معلومات عن الأشخاص الذين يتولون تنفيذ أحكام القانون؟,يمكنهم استخدام شبكة معلوماتية، تقنية المعلومات، نظام المعلومات، موقع إلكتروني، منصة تواصل اجتماعي، أو أي وسيلة نشر إلكترونية أخرى.,إذا كان من شأن نشر ذلك الإساءة إليهم أو تعريض حياتهم للخطر أو إذا كانت التشريعات التي تحكم عملهم تحظر ذلك، يعاقب بالحبس مدة لا تقل عن ثلاثة أشهر وبغرامة لا تقل عن (500
1467,ما هو نتيجة استيلاء شخص على مال مملوك للغير باستخدام بيانات ومعلومات؟,الحبس لمدة ثلاث سنوات وغرامة لا تقل عن 10000 دينار.,"The answer is in the form of a short paragraph, written in Jordanian Arabic, that appropriately answers the question. The answer should not exceed 200 words."
4966,ماذا يحدث إذا لم تكن الفتاة المجني عليها قد أكملت الثانية عشرة من عمرها؟,يُعتبر الشخص مرتكبا لجريمة الاغتصاب ويُعاقب بالعقوبة المنصوص عليها في القانون.,"The answer to the question is ""If the victim has not completed her twelfth year of age, the perpetrator is guilty of the crime described in article (292) (2) and is punished accordingly."""
5293,ما الدعاوى التي تختص بها غرفة قضائية للنظر في الدعاوى الحقوقية؟,الدعاوى المتعلقة بالعقود، الشركات، الأوراق المالية، التأمين، التجارة، والمزيد.,"I can't find a translation for the word ""law"" in this context, so I'm not sure if you're asking about the legal system in Jordan, or the laws themselves. If you're asking about the legal system, I'd say that the court system in Jordan is generally divided into two types: civil courts"
4137,ما الذي يحظر على رئيس وأعضاء مجلس إدارة الشركة المساهمة العامة؟,يحظر عليهم أن يفشوا معلومات سرية عن الشركة لأي شخص.,"المادة 158
يحظر على رئيس وأعضاء مجلس إدارة  الشركة المساهمة العامة ومديرها العام أو اي موظف يعمل فيها أن يفشي الى اي مساهم في الشركة أو الى غيره اي معلومات أو بيانات تتعلق بالشركة وتعتبر ذات طبيعة"
3112,ما هو التأثير الذي يترتب على طلب اعادة المحاكمة طبقاً للمادة 217؟,لا يترتب على طلب اعادة المحاكمة وقف تنفيذ الحكم ما لم تقرر المحكمة خلاف ذلك.,The answer is that the court may decide to suspend the execution of the verdict. The court may also decide to suspend the execution of the verdict and to return the case to the court of first instance.
1098,ماذا يتولى وصي التركة بعد تسوية ديونها؟,يتولى وصي التركة بعد تسوية ديونها تنفيذ وصايا المورث وغيرها من التكاليف.,يتولى وصي التركة بعد تسوية ديونها تنفيذ وصايا المورث وغيرها من التكاليف.
2099,من الذين يوقعون على الجرم المشهود وفقًا للمادة 38؟,المدعي العام والكاتب والأشخاص المذكورون فيها.,"من الذين يوقعون على الجرم المشهود وفقًا للمادة 38: المدعي العام والكاتب والاشخاص المذكورون في المادة 37.

### Explanation:
من الذين يوقعون على الجرم المشهود وفقًا للمادة 38: المدعي العام والكاتب"
3156,ما هو شرط سحب الورقة أو السند الذي يقدمه الخصم في الدعوى؟,يجوز للخصم سحب الورقة أو السند برضا خصمه وبأذن خطي من رئيس المحكمة بعد تحفظ صورة مصدقة عنه.,The condition for withdrawing a document or evidence submitted by the defendant in the lawsuit is that it must be with the consent of the defendant and with a written permission from the head of the court after a certified copy is kept in the lawsuit file.
5214,ما يتضمنه العقاب وفق المادة 437 من القانون؟,العقاب يتناول الشروع في ارتكاب الجرائم المنصوص عليها في المادة 430 وما يليها من المواد الواردة في الفصل الرابع، ويشمل الإفلاس والغش إضرارا بالدائن الإفلاس.,"المادة 437

### Answer:
المادة 437

### Answer:
المادة 437

### Answer:
المادة 437

### Answer:
المادة 437

### Answer:
المادة 437

### Answer:
المادة 437

### Answer:
المادة 437

### Answer:"
1805,ما يمكن للعامل المطالبة به إذا تعرض للفصل التعسفي؟,يمكن للعامل المطالبة بتعويض الفصل التعسفي وأي حقوق أخرى مترتبة له.,"ما يمكن للعامل المطالبة به إذا تعرض للفصل التعسفي؟

ما يمكن للعامل المطالبة به إذا تعرض للفصل التعسفي؟

1. إعادة العامل إلى العمل مع حكم له بأجوره"
5865,ما هي النقطة التي يركز عليها القانون بشكل خاص بخصوص تعيين الاشتراكات والرسوم السنوية وكيفية تحصيلها وتسوية وصرف رواتب التقاعد؟,يركز القانون بصورة خاصة على تعيين الاشتراكات والرسوم السنوية وكيفية تحصيلها وتسوية وصرف رواتب التقاعد.,"مادة 108
حتى تُصدر الأنظمة المنصوص عليها في هذا القانون، تبقى كافة الأنظمة المعمول بها عند نفاذه سارية المفعول، كانما هي صادرة بموجبه، وذلك على جميع الأحوال التي لم يرد بشأنها نص مخ"
3337,ما هي شروط قبول طلب تنفيذ حكم التحكيم؟,يجب أن يكون موعد رفع دعوى بطلان الحكم قد انقضى ويجب تقديم طلب التنفيذ الى محكمة التمييز.,"ما هي شروط قبول طلب تنفيذ حكم التحكيم؟
الشرط الاول:  لا يقبل طلب تنفيذ حكم التحكيم إذا لم يكن موعد رفع دعوى بطلان الحكم قد انقضى.
الشرط الثاني: يقدم طلب التن"
3660,ما الشرط الوحيد الذي يجب توافره لإمكانية انسحاب الشريك من شركة التضامن؟,يجب تبليغ المراقب والشركاء الآخرين برغبته بالانسحاب كتابياً.,"The question is asking about the only condition that must be met to allow a partner to withdraw from a partnership. The answer is that the partner must notify the other partners and the board of directors in writing by registered mail that he/she wishes to withdraw from the partnership, and the decision to withdraw takes effect one day after the"
2841,ما هو تأثير عدم صحة الإفصاح على تقرير الخبرة؟,يبطل تقرير الخبرة في حالة عدم صحة الإفصاح.,"أولا: 
الخبير هو الشخص الذي يقوم بالخبرة ويقوم بذلك بناء على طلب المدعي أو المدعى عليه، أو على طلب المحكمة بناء على طلب المدعي أو المدعى عليه، أو بناء على طلب المحكمة بناء على طلبها،"
2639,من يُحال القرار النهائي بشأن إعدام الجاني إليه؟,يحال إلى جلالة الملك بعد اتخاذه من قبل مجلس الوزراء.,"The person who issues the final decision on the execution of the criminal is the king.

### Explanation:
The king is the one who issues the final decision on the execution of the criminal. This is stated in Article 357 of the Jordanian Criminal Code, which reads:

""357 - Execution of criminal sentences

The third"
523,ما هو تأثير عقد المخارجة على حصة البائع الارثية؟,ينقل عقد المخارجة حصة البائع الارثية الى المشتري ويحل محل البائع في استحقاق نصيبه من التركة.,"ما هو تأثير عقد المخارجة على حصة البائع الارثية؟

```
عقد المخارجة يحول حصة البائع الارثية إلى المشتري ويحل محل البائع في استحقاق نصيبه من التركة.
```"
657,ماذا يعني تعدد المستأجرين وكل منهم ضامنًا للاضرار؟,يعني أنه إذا كان هناك أكثر من مستأجر، فإن كل منهم مسؤول عن الأضرار التي تحدث نتيجة لتقصيره أو تعديه.,"التزامات المستأجر
1. المحافظة على المأجور: 1. الماجور امانة في يد المستاجر يضمن ما يلحقه من نقص أو تلف أو فقدان ناشيء عن تقصيره أو تعديه وعليه أن يحافظ"
234,ماذا يحدث عندما يجتمع المباشر والمتسبب؟,يضاف الحكم إلى المباشر.,إذا كان الفعل الضار قد تسبب في إصابة شخص آخر، فيمكن إضافة الحكم إلى المباشر.
477,متى لا تسمع الدعوى بفسخ العقد أو انقاص الثمن أو تكملته؟,عندما ينقضي مدة سنة على تسليم المبيع.,"متى لا تسمع الدعوى بفسخ العقد أو انقاص الثمن أو تكملته؟

إذا انقضت سنة على تسليم المبيع
إذا انقضت سنة على تسليم المبيع
إذا انقضت سنة على تسليم المبيع"
1767,متى لا تنطبق أحكام الفقرة (أ) من المادة 94؟,عندما تنشأ الإصابة عن حالات تسبب الوفاة أو العجز الدائم بنسبة لا تقل عن 30%.,"متى لا تنطبق أحكام الفقرة (أ) من المادة 94؟
لا تنطبق أحكام الفقرة (أ) من المادة 94 على أي حالة من حالات الإصابة إذا نشأت عنها وفاة المصاب أو أصيب بعجز دائم بسببها"
1608,ما الحق الذي يحصل عليه العامل في حال انهاء صاحب العمل عقد العمل محدد المدة؟,يحق للعامل استيفاء جميع الحقوق والمزايا التي ينص عليها العقد والأجور التي تستحق حتى انتهاء المدة المتبقية.,"The worker is entitled to all the rights and privileges stipulated in the contract as well as the wages due until the end of the remaining term of the contract, unless the contract was terminated by the worker for one of the reasons specified in Article 29 of this law.

The worker is entitled to all the rights and privileges"
3307,ما يعني قرار المحكمة المختصة في حالة الطعن بقرار هيئة التحكيم؟,يكون قرار المحكمة المختصة قطعياً.,هذا يعني ان قرار المحكمة المختصة هو قرار نهائي و لا يمكن الطعن فيه.
1258,ما الشرط الذي يتعين تحققه لحفظ حق المالك بين عقارين منفصلين بعد انتقالهما؟,يجب أن يبقى الحق مجرداً وظاهراً بين العقارين دون تغيير في حالتهما.,"ما الشرط الذي يتعين تحققه لحفظ حق المالك بين عقارين منفصلين بعد انتقالهما؟

### Answer:
ما الشرط الذي يتعين تحققه لحفظ حق المالك بين عقارين منفصلين بعد انتقالهما؟

###"
5544,ما هي الدعاوى التي يمكن لمحكمة الصلح النظر فيها بصرف النظر عن قيمتها إذا كانت مرتبطة بالأموال المنقولة؟,دعاوى تقسيم الأموال المنقولة.,"دعاوى الحقوق المتعلقة بدين أو مال منقول أو غير منقول بشرط ألا تتجاوز قيمة المدعى به عشرة آلاف دينار.
دعاوى العطل والضرر بشرط الا تتجاوز قيمة المدعى"
351,ما هي الحالة الوحيدة التي يعفى فيها المدين من الحاجة إلى اعذار؟,الحالة الوحيدة التي يعفى فيها المدين من الحاجة إلى اعذار هي اذا صرح المدين كتابة انه لا يريد القيام بالتزامه وفقاً للمادة 362.,"ما هي الحالة الوحيدة التي يعفى فيها المدين من الحاجة إلى اعذار؟

### Answer:
ما هي الحالة الوحيدة التي يعفى فيها المدين من الحاجة إلى اعذار؟

### Answer:
ما هي الحالة الوحيدة التي يعف"
2832,ما الإجراء الذي تتخذه المحكمة إذا تخلف الشاهد عن الحضور دون معذرة مشروعة؟,تصدر مذكرة احضار بحقه.,"إذا تخلف الشاهد عن الحضور دون معذرة مشروعة، فيمكن للمحكمة أن تطلب من الشرطة إخلاء سبيله، ويمكنها أن تفرض غرامة أو حبس.

### Explanation:
If the witness fails to appear without a valid excuse"
136,ما العقوبة المترتبة على الزوج في حال قام بإجبار زوجته على التنازل عن حق لها؟,يكون تصرف الزوج في هذه الحالة غير نافذ ولا تكون له أي تأثير قانوني.,"The husband who beats his wife, or prevents her from seeing her family, for example, to give up her right or give him money, is not entitled to do so. The transaction is not valid."
4964,ما هي العقوبة المنصوص عليها للشخص الذي يرتكب جريمة الاغتصاب وفق المادة 293؟,يعاقب الشخص الذي يرتكب جريمة الاغتصاب وفق المادة 293 بالعقوبة المنصوص عليها في المادة 292 من القانون.,هي المادة 293 من قانون العقوبات والتي تنص على أن من واقع أنثى (غير زوجه) لا تستطيع المقاومة بسبب ضعف أو عجز جسدي أو نفسي أو عقلي يعد مرتكبا للجرم المنصوص عليه في المادة (
3869,كم تكون مدة تعيين مجلس الإدارة؟,لا تزيد مدة تعيين مجلس الإدارة على أربع سنوات.,هذا القانون جعل مدة مجلس الإدارة لا تزيد عن أربع سنوات، ويمكن إعادة انتخابه، ولكن لا يمكن تعيينه، ويجوز له عقد اجتماعاته بواسطة الهاتف أو أي وسيلة اتصال أخرى، وله صلاحيات، ومكافأة،
2788,ما الذي يجب على الطرفين ألا يقوما به في لائحتهما الجوابية؟,يجب على الطرفين عدم نكران ادعاءات الطرف الآخر مجملاً في لائحتهما الجوابية.,"The following are the things that should be avoided in the defendant's responsive statement:

- The defendant should not deny the plaintiff's claim in a general way, but should respond to the items in the plaintiff's statement of claim.
- The defendant should not be able to submit any evidence in the case if he does not submit"
5403,ما المصنفات التي لا تشملها حماية القانون وفق المادة 7؟,القوانين والأنظمة والأحكام القضائية والقرارات الإدارية والاتفاقيات الدولية والوثائق الرسمية والترجمات الرسمية لها.,مصنفات النصوص والترجمات والموسوعات والإحصاءات والقوانين والأنظمة والأحكام القضائية والقرارات والمواد الرسمية والترجمات الر
899,ما هي الحالة التي يحق للحارس الحصول على أجر مثله؟,عندما لا يشترط الحارس الحصول على أجر ويكون من العمال الذين يعملون بأجر.,"The employee has the right to receive his wage, if he is working, and if he is not working, he has the right to receive his wage.

### Input:
المادة 905
اذا اشترط الحارس اجرا استحقه بايفاء العمل وان لم يشترطه وكان ممن يعملون با"
4339,ما هي المدة المسموح فيها للجنة التنفيذية لتزويد المراقب بمحاضر الاجتماعات؟,يجب على اللجنة التنفيذية تزويد المراقب بمحاضر الاجتماعات خلال سبعة أيام من تاريخ انعقادها.,"According to the Jordanian Companies Law, the Executive Committee is responsible for providing the supervisor with the minutes of the meetings within seven days of the meeting."
4238,ما هو دور الهيئة العامة للشركة والمجلس الإدارة فيما يتعلق بانتخاب مدقق الحسابات؟,تنتخب الهيئة العامة للشركة مدقق الحسابات ويتم تحديد أتعابهم بالتفويض من قبل المجلس الإدارة.,المدقق هو الشخص الذي يقوم بمراجعة الحسابات المالية للشركة ويجعلها في شكل يرضي الشركات التي تقوم بإدارةها. ويجعلها في شكل يرضي الشركات التي تقوم بإدارتها. في حالات معينة ، قد تطلب
5473,ما هي مسؤولية الشخص الذي وجه ونظم ابتكار المصنف الجماعي؟,يلتزم بنشر المصنف باسمه وتحت ادارته.,The person who initiates and organizes the collective work has the responsibility of managing the collective work. He is the only one who has the right to exercise the rights of the author in the collective work.
5836,متى يحق للنقيب أن يتخذ صفة المدعي في القضايا؟,يحق للنقيب أن يتخذ صفة المدعي في كل قضية تتعلق بافعال تمس كرامة النقابة أو كرامة أحد أعضائها.,"متى يحق للنقيب أن يتخذ صفة المدعي في القضايا؟

### Answer:
متى يحق للنقيب أن يتخذ صفة المدعي في القضايا؟

### Answer:
متى يحق للنقيب أن يتخذ صفة المدعي في"
4035,ما هي الشروط المطلوبة لأسناد القرض وإصداره بواسطة مجلس إدارة الشركة؟,يشترط موافقة مجلس إدارة الشركة بأغلبية ثلثي أعضاء المجلس على الأقل.,"The conditions required for the issuance of bonds and its approval by the board of directors are:

1. The board of directors must approve the issuance of bonds by a majority of the members of the board.
2. The General Assembly must approve the issuance of bonds.
3. The General Assembly must approve the increase of the company"
5141,ما هو تأثير تصرف الشخص المعهود بإدارة المحل وتفقده والعناية به؟,يعتبر أنه هو صاحب ذلك المحل سواء أكان هو صاحبه الحقيقي أم لم يكن.,"The effect of the conduct of the person entrusted with the management of the place and its neglect and care of it is that he is considered the owner of the place, whether he is the actual owner or not."
4202,ما يجب أن تقوم به المراقب أو من ينتدبه بخصوص القسيمة المودعة في مركز الشركة؟,يتولى المراقب أو من ينتدبه تدقيق القسيمة المودعة في مركز الشركة.,"المراقب أو من ينتدبه يجب أن يقوم بالتدقيق على القسيمة المودعة في مركز الشركة قبل ثلاثة أيام على الأقل من التاريخ المحدد لاجتماع الهيئة العامة.

### Answer:
المراقب أو من ينتدبه يجب أن يق"
3651,ما هي التزامات شركة التضامن تجاه أي عمل يقوم به شخص مفوض بإدارتها؟,تلتزم شركة التضامن بأي عمل يقوم به شخص مفوض بإدارتها وبأي مستند وقعه باسم الشركة، سواء كان شريكًا في الشركة أو لم يكن.,"أ- تلتزم شركة التضامن باي عمل قام به اي شخص مفوض بإدارتها أو القيام بذلك العمل وبأي مستند وقعه باسم الشركة سواء كان شريكاً في الشركة أو لم يكن.
ب- يعتبر الشخص المفوض بإ"
957,متى يمكن للمحكمة أن تعفي الكفيل بالنفس من الغرامة التهديدية؟,يمكن للمحكمة أن تعفي الكفيل بالنفس من الغرامة التهديدية إذا أثبت عجزه عن إحضار المكفول.,"The answer to this question is that the court may release the bailor himself from the threatening fine when he proves his inability to bring the bailor himself. If the bailor has promised to pay a certain amount on behalf of the bailor, he is obliged to pay that amount, and the court may release him from"
5491,متى يمكن للمحكمة إلزام الشخص الحاصل على حق التقديم بتقديم التأمين أو الكفالة؟,عند قرار المحكمة أو قاضي الأمور المستعجلة بإجابة طلب صاحب الحق وتحديد نوع ومقدار التأمين.,"متى يمكن للمحكمة إلزام الشخص الحاصل على حق التقديم بتقديم التأمين أو الكفالة؟
إذا قررت المحكمة أو قاضي الأمور المستعجلة إجابة طلب صاحب الحق في أي من الحالات المنصوص عليها في الفق"
5294,ما هي الدعاوى المتعلقة بالأعمال المصرفية التي تدخل ضمن اختصاص محاكم البداية؟,التي تزيد قيمة المطالبة في كل منها على مائة ألف دينار، بما فيها الاعتمادات والضمانات المصرفية.,أ- تشكل محاكم تسمى (محاكم البداية) في المحافظات أو الألوية أو أي مكان آخر بمقتضى نظام يحدد فيه الاخت
907,ما يعنيه أن يكون اتفاق على مقامرة أو رهان محظور باطلا وفقاً للمادة 915؟,يعني أن أي اتفاق يتعلق بالمقامرة أو الرهان الذي يعتبر محظوراً سيكون باطلاً وغير ملزم قانونياً.,يعني أن يكون اتفاق على مقامرة أو رهان محظور باطلاً أن يكون اتفاقًا على مقامرة أو رهان محظورًا باطلاً وفقًا للمادة 915.
4105,ما الإجراء الذي يجب أن يتخذه الشخص الذي تم انتخابه عضواً في مجلس إدارة شركة ولم يكن حاضراً؟,يجب عليه أن يعلن عن قبوله بالعضوية أو رفضها خلال عشرة أيام من تاريخ تبليغه بنتيجة الانتخاب.,"If a person was elected as a board member of a company, and he was absent, he must announce his acceptance or rejection of the membership within ten days of being notified of the election, and his silence is considered acceptance."
721,ما هو الحد الأقصى لقيمة الأجر الذي يحصل عليه المزارع في حالة فسخ عقد المزارعة؟,لا يجوز أن يتجاوز اجر المزارع قيمة حصته من المحصول في أي حال من الأحوال.,"ما هو الحد الأقصى لقيمة الأجر الذي يحصل عليه المزارع في حالة فسخ عقد المزارعة؟

#### Answer:
ما هو الحد الأقصى لقيمة الأجر الذي يحصل عليه المزارع في حالة فسخ عقد المزارعة؟

ما هو الح"
1863,ما العمل الذي يجب على صاحب العمل القيام به بعد تبليغه بأوراق الدعوى؟,يجب عليه تقديم جواب مفصل على اللائحة لكل واقعة وفق ما يطلبه العامل.,The employer is required to submit to the court a response to the complaint within ten days of being notified of the complaint. The response must include the facts and evidence that prove that the employee is not entitled to the wages he claims or that the employer has paid the employee the wages he is entitled to. The court may order
2002,كم تكون العقوبة عند تكرار حالة النقص أو الزيادة غير المبرر؟,يعاقب المخالف بالحبس مدة لا تقل عن ثلاثة أشهر وبغرامة لا تقل عن 1000 دينار ولا تزيد عن 3000 دينار.,"According to the law, the punishment is as follows: If the case of shortage or increase is repeated, the punishment will be a fine of no less than 500 Jordanian dinars and no more than 1000 Jordanian dinars. If the case is repeated again, the punishment will be imprisonment for a period"
2906,متى يمكن للفريق الذي لم يمتثل للاشعار استخدام المستند كبينة في التدعوى؟,يمكن للفريق الذي لم يمتثل للاشعار استخدام المستند كبينة في التدعوى إذا أقنع المحكمة بوجود سبب أو عذر كاف لعدم أمتثاله للاِشعار.,"متى يمكن للفريق الذي لم يمتثل للاشعار استخدام المستند كبينة في التدعوى؟

لا يمكن للفريق الذي لم يمتثل للاشعار استخدام المستند كبينة في التدعوى إلا إذا كان هناك سبب أو عذر كاف لإعتر"
163,ما هو تعريف الفسخ والاجازة في القانون المدني الأردني؟,الفسخ أو الاجازة هما بمعنى فسخ العقد أو السماح بالتنفيذ القانوني له بشكل صريح أو دال.,"ما هو تعريف الفسخ والاجازة في القانون المدني الأردني؟
لابد من ذكر تعريف الفسخ والاجازة في القانون المدني الأردني.
لذلك نقول: الفصل الأول- مصادر الحقوق الشخصية - القانون المدني الأردني لس"
3533,ما العقوبة المنصوص عليها للشخص الذي يرتكب جريمة بقصد وفقا للمادة 5؟,يُعاقب بمقتضى العقوبات المنصوص عليها في قانون العقوبات وهذا القانون.,القانون الجنائي يفرق بين الجرم الخطأ والجرم القصدي ويعاقب الجرم الخطأ بالحبس لمدة لا تزيد عن سنة والجرم القصدي بموجب قانون العقوبات
